works_count,journal_name
158,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION
114,ANNALS OF STATISTICS
97,TECHNOMETRICS
96,ECONOMETRICA
83,Journal of Computational and Graphical Statistics
54,SCANDINAVIAN JOURNAL OF STATISTICS
52,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY
51,ECONOMETRIC THEORY
49,AMERICAN STATISTICIAN
43,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY
