kernel,n_rows,n_cols,gini_col_sum,mean_col_sum,max_col_sum,mean_row_perp,std_row_perp,median_row_perp
H_SS,1079,1079,0.5440398953026168,0.9999999999999998,24.570323243292908,46.638253448141526,35.76748020879151,37.74427616451317
H_II,1733,1733,0.46535209163438185,1.0,9.61620465722543,274.5149205997941,120.87442330358718,264.02960095868286
H_SI,1084,1733,0.5051071753302343,0.6255049047893826,7.189891298656141,214.30008353518625,166.88835680186466,169.90613489426153
H_IS,1733,1084,0.65314220459084,1.598708487084871,47.30903774972406,109.68014256239965,46.86950167232854,105.07868089973728
M_S,1084,1084,0.6737879596468719,1.0,27.090678093872736,368.52411791356315,63.922447575013855,385.67095756343485
M_I,1733,1733,0.5477062386966001,1.0,15.106338735582156,880.0042072607653,213.79407700753288,934.6833671591781
