type,case,name,field_eb,v_bip,v_ss,mean_v_I_bip,v_ii,mean_v_S_bip,explanation
Sources,min v_bip | v_ss≈1,International Tax and Public Finance,A,0.779,0.977,1.999,,,"v_SB (0.779) is below v_SS (0.977). In the bipartite model v_SB equals the H_SI-weighted mean v_IB of cited institutions (1.999, above the institutional mean of 1), placing this source below the bipartite average. v_SS reflects source-source citations, which are absent from the bipartite model."
Sources,max v_bip | v_ss≈1,Journal of Advertising,B,2.048,0.958,1.315,,,"v_SB (2.048) is above v_SS (0.958). In the bipartite model v_SB equals the H_SI-weighted mean v_IB of cited institutions (1.315, above the institutional mean of 1), placing this source above the bipartite average. v_SS reflects source-source citations, which are absent from the bipartite model."
Sources,min v_ss | v_bip≈1,Journal of Financial Counseling and Planning,B,0.963,0.214,1.335,,,"v_SB (0.963) is above v_SS (0.214). In the bipartite model v_SB equals the H_SI-weighted mean v_IB of cited institutions (1.335, above the institutional mean of 1), placing this source below the bipartite average. v_SS reflects source-source citations, which are absent from the bipartite model."
Sources,max v_ss | v_bip≈1,Journal of Industrial Economics,E,1.045,2.676,2.222,,,"v_SB (1.045) is below v_SS (2.676). In the bipartite model v_SB equals the H_SI-weighted mean v_IB of cited institutions (2.222, above the institutional mean of 1), placing this source above the bipartite average. v_SS reflects source-source citations, which are absent from the bipartite model."
Institutions,min v_bip | v_ii≈1,Libera Università Maria SS. Assunta,B,0.811,,,1.036,0.81,"v_IB (0.811) is below v_II (1.036). In the bipartite model v_IB equals the H_IS-weighted mean v_SB of citing sources (0.810, below the source mean of 1), placing this institution below the bipartite average. v_II reflects institution-institution citations, which are absent from the bipartite model."
Institutions,max v_bip | v_ii≈1,Japan Science and Technology Agency,E,1.609,,,1.018,0.917,"v_IB (1.609) is above v_II (1.018). In the bipartite model v_IB equals the H_IS-weighted mean v_SB of citing sources (0.917, below the source mean of 1), placing this institution above the bipartite average. v_II reflects institution-institution citations, which are absent from the bipartite model."
Institutions,min v_ii | v_bip≈1,Shanghai Advanced Research Institute,A,1.0,,,0.631,0.923,"v_IB (1.000) is above v_II (0.631). In the bipartite model v_IB equals the H_IS-weighted mean v_SB of citing sources (0.923, below the source mean of 1), placing this institution below the bipartite average. v_II reflects institution-institution citations, which are absent from the bipartite model."
Institutions,max v_ii | v_bip≈1,Universidade Paulista,B,1.05,,,1.263,0.903,"v_IB (1.050) is below v_II (1.263). In the bipartite model v_IB equals the H_IS-weighted mean v_SB of citing sources (0.903, below the source mean of 1), placing this institution above the bipartite average. v_II reflects institution-institution citations, which are absent from the bipartite model."
