field,label,n,mean_ratio,median_ratio,pct_above_1,wilcoxon_W,wilcoxon_p
E,F=E / base  [m=0110 bipartite],339,0.9696192843178992,0.9749809171672664,41.00294985250738,21579.0,6.146931342753953e-05
E,F=E / base  [m=1000 SS-only],339,0.6724045176139012,0.6703234376188294,3.2448377581120944,666.0,8.764366732544918e-55
E,PAIRED: F=E ratio_0110 > ratio_1000,339,0.29721476670399793,0.30252004703079727,97.05014749262537,56819.0,1.5350182448154472e-54
E,"F=E / base  [m=0001 II-only, institutions]",1723,0.9259971980938148,0.8576402116179943,34.184561810795124,497761.0,2.043287197528878e-32
B,F=B / base  [m=0110 bipartite],505,1.1155206346781616,1.1238150482945592,86.73267326732673,12732.0,8.452037353488257e-55
B,F=B / base  [m=1000 SS-only],505,1.801820074888586,1.8950176821282074,95.24752475247524,1140.0,1.6045711029135574e-81
B,PAIRED: F=B ratio_0110 > ratio_1000,505,-0.6862994402104239,-0.7408036554411446,4.752475247524752,1497.0,1.0
B,"F=B / base  [m=0001 II-only, institutions]",1697,1.2581421138603583,1.2208109117857222,72.30406599882146,328410.0,5.826517887002253e-84
