panel,field,n,median_delta_log10,mean_delta_log10,median_ratio
Source-only,E,583,-0.3610346637841031,-0.3239811831967764,0.4354771141209511
Source-only,B,775,-0.5163225777492155,-0.5111254923447734,0.30456319674136517
Inst-only,E,391,-0.044722152007127924,-0.04077402724735983,0.9021481191000462
Inst-only,B,783,0.004978840370371773,-0.0028749286160998254,1.0115301694403693
EB-bipartite-S,E,586,-0.012815532052508564,-0.021054473880872827,0.9709222819671183
EB-bipartite-S,B,780,-0.011428104206245775,-0.018478371812685003,0.974029018768612
EB-bipartite-I,E,391,-0.008001879806747936,-0.021658844736621226,0.9817436936166626
EB-bipartite-I,B,783,-0.007894625739843574,-0.02150330112887101,0.981986176566118
