kernel,node_idx,active_row,row_entropy,row_entropy_norm,effective_branching,effective_branching_frac,weight_stationary
H_SS,267729,True,1.14626629475918,0.3590735155481559,14.004457655699522,0.008994513587475607,0.0003700007829984671
H_SS,323237,True,1.5645435389088156,0.4901009052719007,36.68964747186036,0.02356432079117557,0.00028615275105246953
H_SS,445011,True,0.3010299956639812,0.09429911646422524,2.0,0.0012845215157353885,3.8773003391651776e-05
H_SS,579031,True,1.2485241410058963,0.3911062853435073,17.7224655577076,0.011382444160377392,0.0032464911853476424
H_SS,678965,True,0.82569138143502,0.25865185816352954,6.694087447752663,0.0042993496774262445,0.002340194778958475
H_SS,1076045,True,1.4621550672822254,0.45802721643828953,28.983782852018287,0.018615146340409946,0.00011815318622635941
H_SS,1234856,True,1.881971687815124,0.589536823332876,76.20293307882827,0.048942153550949434,2.0530971768520438e-05
H_SS,1558358,True,1.6484117629648178,0.5163730360954769,44.505303084885405,0.02858400968842993,9.423556439725965e-05
H_SS,1650206,True,0.6781439489585503,0.21243190427352984,4.76588928281436,0.003060943662693873,0.0005226101230404104
H_SS,2042836,True,0.4771212547196625,0.149460563446934,3.0000000000000004,0.001926782273603083,1.799962258206685e-06
H_SS,2058785,True,1.5462958691052575,0.48438473357874096,35.18000275285713,0.02259473522983759,0.0012406100137002472
H_SS,2165841,True,1.7285202923514276,0.5414674242003683,53.52051605764187,0.03437412720465117,3.933200003269783e-05
H_SS,2508752,True,2.0509423009474705,0.6424676932006897,112.44555722731266,0.07221936880366901,0.00014201822321100604
H_SS,2875300,True,1.045544254018282,0.32752184432884546,11.10565694705181,0.0071327276474321185,0.001130831217642143
H_SS,2876017,True,1.7175171319850686,0.5380206304728089,52.18156883417927,0.03351417394616523,0.0037222897037632293
H_SS,3354691,True,2.037436420090086,0.638236910055265,109.0024903071326,0.07000802203412498,0.00011995062247708079
H_SS,3409213,True,1.5751720935651845,0.4934303519311169,37.5986363158783,0.02414812865502781,7.882524129029988e-05
H_SS,3416249,True,1.411425173150025,0.4421358293210735,25.788446036287922,0.01656290689549642,0.001149557632250217
H_SS,3593595,True,1.7238117713787664,0.539992457007827,52.943393091854986,0.03400346377126203,0.00010692067025168167
H_SS,3835251,True,1.3829404051829428,0.4332128366270743,24.151294024869117,0.015511428403897956,6.782126905034376e-05
H_SS,4060489,True,0.4771212547196625,0.149460563446934,3.0000000000000004,0.001926782273603083,4.020831981677083e-05
