kernel,n_nodes,n_active_rows,dangling_rows,dangling_share,mean_h_norm_uniform,mean_h_norm_stationary,median_h_norm_active,q10_h_norm_active,q90_h_norm_active,mean_m_eff_uniform,mean_m_eff_stationary,median_m_eff_active,mean_m_eff_frac_uniform,entropy_rate_raw_stationary,entropy_rate_norm_stationary
H_SS,1079,1079,0,0.0,0.5001447684041421,0.4766388042016479,0.5192622158741069,0.32530462460245557,0.651165362718512,46.36346276831148,32.37300982749773,37.57798045147705,0.04296891822827755,3.3287452978361047,0.4766388042016479
H_II,1653,1653,0,0.0,0.7433746310040803,0.756972405626136,0.7525087550510225,0.6589825865831737,0.8193221873030183,274.0591142592607,297.61475342095963,264.10614033673875,0.16579498745266827,5.609428269162236,0.756972405626136
M_S,1084,1084,0,0.0,0.8430641430014079,0.8217210053217884,0.8516412445712882,0.8053565952205206,0.868829915801668,368.4429986608414,320.98433825535346,384.37587816519965,0.3398920651852782,5.742525905516743,0.8217210053217884
