unique_issn_list,era_journal_name,era_for_codes,harzing_journal_name,harzing_field,wos_journal_name,wos_abbreviation,wos_categories,scopus_journal_name,scopus_asjc
[2587-151X],,,,,Ekonomi Politika & Finans Arastirmalari Dergisi,EKON POLIT FINANS AR,"[ECONOMICS, 'BUSINESS, FINANCE']",,
"[1439-2917, 2194-072X]",Schmalenbach Business Review,[3507],Schmalenbach Business Review,Gen & Strat,,,,,
[1599-8258],Journal of Media Economics and Culture,[3801],,,,,,,
[0031-8248],,,Philosophy of Science,Sociology,,,,,
[1675-7227],International Journal of Banking and Finance,[3502],,,,,,,
"[1558-2868, 1046-8188]",,,ACM Transactions on Information Systems,"MIS,KM",,,,ACM Transactions on Information Systems,[1400]
[1339-5629],,,,,Acta Logistica,ACTA LOGISTICA,[MANAGEMENT],Acta Logistica,[1400]
[1855-931X],Advances in Business Related Scientific Research,[3507],,,,,,Advances in Business Related Scientific Research Journal,"[2000, 1400]"
"[1945-7731, 1945-774X, 1945-7812]",American Economic Journal: Economic Policy,"[3502, 3801]",American Economic Journal: Economic Policy,Economics,American Economic Journal-Economic Policy,AM ECON J-ECON POLIC,[ECONOMICS],American Economic Journal: Economic Policy,[2000]
[2666-9579],Annals of Tourism Research Empirical Insights,[3508],,,,,,Annals of Tourism Research Empirical Insights,[1400]
"[1941-1340, 1941-1359]",Annual Review of Resource Economics,"[3801, 3803, 3802]",,,Annual Review of Resource Economics,ANNU REV RESOUR ECON,[ECONOMICS],Annual Review of Resource Economics,[2000]
"[0003-6846, 1466-4283]",Applied Economics,"[3801, 3802]",Applied Economics,Economics,APPLIED ECONOMICS,APPL ECON,[ECONOMICS],Applied Economics,[2000]
"[1976-1597, 2158-6721]",Asian Journal of Technology Innovation,"[3503, 3507]",,,Asian Journal of Technology Innovation,ASIAN J TECHNOL INNO,"[ECONOMICS, BUSINESS]",Asian Journal of Technology Innovation,"[2000, 1400]"
"[1050-4753, 1558-8009]",Behavioral Research in Accounting,[3501],Behavioral Research in Accounting,F&A,Behavioral Research in Accounting,BEHAV RES ACCOUNT,"['BUSINESS, FINANCE']",Behavioral Research in Accounting,[1400]
"[1463-5771, 1758-4094]",Benchmarking: an international journal,"[3503, 3507]",,,Benchmarking-An International Journal,BENCHMARKING,[MANAGEMENT],Benchmarking,[1400]
"[1751-5637, 1751-5645, 2052-1944]",Journal of Behavioral Strategy,"[3505, 3507]",,,,,,Business Strategy Series,[1400]
"[2161-0045, 0889-4019]",,,Career Development Quarterly,"OS/OB,HRM/IR",,,,Career Development Quarterly,[1400]
"[1805-4854, 1805-4862]",Central European Business Review,"[3506, 3507]",,,Central European Business Review,CENT EUR BUS REV,[BUSINESS],Central European Business Review,[1400]
"[1074-3529, 1465-7287]",Contemporary Economic Policy,[3801],,,CONTEMPORARY ECONOMIC POLICY,CONTEMP ECON POLICY,[ECONOMICS],Contemporary Economic Policy,"[2000, 1400]"
"[0965-3562, 1758-6100]",,,,,Disaster Prevention and Management,DISASTER PREV MANAG,[MANAGEMENT],Disaster Prevention and Management,[1400]
"[0013-0451, 1120-7388, 1573-9414, 1574-0277]","Economic Change and Restructuring: an international journal devoted to the study of comparative economics, planning and development","[3502, 3801]",Economic Change and Restructuring,Economics,Economic Change and Restructuring,ECON CHANG RESTRUCT,[ECONOMICS],Economic Change and Restructuring,[2000]
"[0812-0439, 1759-3441]",Economic Papers: a journal of applied economics and policy,"[3502, 3801]",,,Economic Papers,ECON PAP,[ECONOMICS],Economic Papers,[2000]
"[0308-5147, 1469-5766]",,,Economy and Society,Economics,ECONOMY AND SOCIETY,ECON SOC,[ECONOMICS],Economy and Society,[2000]
"[1994-5124, 2411-2658]",,,,,Ekonomicheskaya politika,EKONOMICHESKAYA POLI,[ECONOMICS],Ekonomicheskaya Politika,[2000]
"[0424-7558, 1848-9494]",,,,,Ekonomski Pregled,EKON PREGL,[ECONOMICS],Ekonomski Pregled,[2000]
"[1567-4223, 1873-7846]",,,Electronic Commerce Research and Applications,"MIS,KM",Electronic Commerce Research and Applications,ELECTRON COMMER R A,[BUSINESS],Electronic Commerce Research and Applications,[1400]
"[1392-2785, 2029-5839]",,,,,Inzinerine Ekonomika-Engineering Economics,INZ EKON,[ECONOMICS],Engineering Economics,"[2000, 1400]"
"[2353-8821, 2353-883X]",Entrepreneurial Business and Economics Review,[3507],,,Entrepreneurial Business and Economics Review,ENTREPR BUS ECON REV,[ECONOMICS],Entrepreneurial Business and Economics Review,"[2000, 1400]"
"[1465-6485, 1468-0475]",German Economic Review,"[3801, 3802, 3803]",German Economic Review,Economics,German Economic Review,GER ECON REV,[ECONOMICS],German Economic Review,[2000]
"[1468-0491, 0952-1895]",,,Governance,PSM,,,,Governance,[1400]
"[1534-4843, 1552-6712]",Human Resource Development Review,"[3505, 3507]",,,Human Resource Development Review,HUM RESOUR DEV REV,[MANAGEMENT],Human Resource Development Review,[1400]
"[1053-4822, 1873-7889]",,,Human Resource Management Review,"OS/OB,HRM/IR",HUMAN RESOURCE MANAGEMENT REVIEW,HUM RESOUR MANAGE R,[MANAGEMENT],Human Resource Management Review,[1400]
"[1087-6537, 0197-2243]",,,Information Society,"MIS,KM",,,,Information Society,[1400]
"[1096-7508, 1559-2448]",International Food and Agribusiness Management Review,"[3506, 3509, 3801]",,,,,,International Food and Agribusiness Management Review,[1400]
"[1751-0252, 1751-0260]",International Journal of Business Innovation and Research,"[3503, 3507]",,,,,,International Journal of Business Innovation and Research,[1400]
"[1470-5958, 1741-2838]",International Journal of Cross Cultural Management,"[3505, 3507]",International Journal of Cross Cultural Management,"OS/OB,HRM/IR",International Journal of Cross Cultural Management,INT J CROSS CULT MAN,[MANAGEMENT],International Journal of Cross Cultural Management,[1400]
"[1548-1131, 1548-114X]",International Journal of E-Business Research,[3506],,,International Journal of E-Business Research,INT J E-BUS RES,[BUSINESS],International Journal of e-Business Research,[1400]
"[1752-0452, 1752-0460]",International Journal of Economic Policy and Emerging Economies,[3502],,,,,,International Journal of Economic Policy in Emerging Economies,[2000]
"[1743-8268, 1743-8276]",,,,,International Journal of Knowledge Management Studies,INT J KNOWL MAN STUD,[MANAGEMENT],International Journal of Knowledge Management Studies,[1400]
"[1055-3185, 1551-7470, 1758-8561, 1934-8835]",International Journal of Organizational Analysis,"[3505, 3507]",,,International Journal of Organizational Analysis,INT J ORGAN ANAL,[MANAGEMENT],International Journal of Organizational Analysis,[1400]
"[1741-539X, 1741-5403]",International Journal of Services Operations and Informatics,[3509],,,,,,International Journal of Services Operations and Informatics,[1400]
"[1756-6517, 1756-6525]",International Journal of Shipping and Transport Logistics,[3509],,,International Journal of Shipping and Transport Logistics,INT J SHIP TRANS LOG,"[MANAGEMENT, TRANSPORTATION]",International Journal of Shipping and Transport Logistics,[1400]
[2831-3224],,,,,International Studies of Economics,INT STUD ECON,[ECONOMICS],International Studies of Economics,[2000]
"[1469-7017, 1479-1811]",Journal of Change Management,"[3505, 3507]",,,JOURNAL OF CHANGE MANAGEMENT,J CHANG MANAG,[MANAGEMENT],Journal of Change Management,[1400]
"[1057-7408, 1532-7663]",,,Journal of Consumer Psychology,Marketing,JOURNAL OF CONSUMER PSYCHOLOGY,J CONSUM PSYCHOL,[BUSINESS],Journal of Consumer Psychology,[1400]
"[1055-0925, 1938-9744]",Journal of Economics and Finance,"[3502, 3801]",,,JOURNAL OF ECONOMICS AND FINANCE,J ECON FINANC-US,"[ECONOMICS, 'BUSINESS, FINANCE']",Journal of Economics and Finance,[2000]
"[1472-4049, 1747-7638]",Journal of Ecotourism,[3508],,,,,,Journal of Ecotourism,[1400]
"[1042-9573, 1096-0473]",Journal of Financial Intermediation,"[3502, 3801]",Journal of Financial Intermediation,F&A,JOURNAL OF FINANCIAL INTERMEDIATION,J FINANC INTERMED,"['BUSINESS, FINANCE']",Journal of Financial Intermediation,[2000]
"[1755-750X, 1755-7518]",Journal of Historical Research in Marketing,[3506],,,Journal of Historical Research in Marketing,J HIST RES MARKETING,[BUSINESS],Journal of Historical Research in Marketing,[1400]
"[1469-1930, 1758-7468]",Journal of Intellectual Capital,"[3501, 3502]",,,Journal of Intellectual Capital,J INTELLECT CAP,"[MANAGEMENT, BUSINESS]",Journal of Intellectual Capital,[1400]
"[1738-2122, 2508-7592]",Journal of International Logistics and Trade,"[3509, 3801]",,,,,,Journal of International Logistics and Trade,"[2000, 1400]"
"[2191-4761, 2191-477X]",Journal of Management Control,[3501],Journal of Management Control,F&A,Journal of Management Control,J MANAG CONTROL,[MANAGEMENT],Journal of Management Control,[1400]
"[0268-3946, 1758-7778]",,,Journal of Managerial Psychology,"OS/OB,HRM/IR",Journal of Managerial Psychology,J MANAGE PSYCHOL,[MANAGEMENT],Journal of Managerial Psychology,[1400]
"[1746-5664, 1746-5672]",Journal of Modelling in Management,[3507],,,Journal of Modelling in Management,J MODEL MANAG,[MANAGEMENT],Journal of Modelling in Management,[1400]
"[0095-4918, 2168-8656]",The Journal of Portfolio Management: the journal for investment professionals,[3502],Journal of Portfolio Management,F&A,JOURNAL OF PORTFOLIO MANAGEMENT,J PORTFOLIO MANAGE,"['BUSINESS, FINANCE']",Journal of Portfolio Management,"[2000, 1400]"
"[2371-8366, 2371-8374]",,,,,Journal of Project Management,J PROJ MANAGE,[MANAGEMENT],Journal of Project Management (Canada),[1400]
"[1094-6705, 1552-7379]",Journal of Service Research,"[3504, 3506, 3507]",Journal of Service Research,Marketing,JOURNAL OF SERVICE RESEARCH,J SERV RES-US,[BUSINESS],Journal of Service Research,[1400]
"[0887-6045, 2054-1651]",Journal of Services Marketing,"[3504, 3506, 3507]",Journal of Services Marketing,Marketing,Journal of Services Marketing,J SERV MARK,[BUSINESS],Journal of Services Marketing,[1400]
[0718-2724],Journal of Technology Management and Innovation,[3507],,,,,,Journal of Technology Management and Innovation,[1400]
"[1469-9702, 0023-656X]",,,Labor History,"OS/OB,HRM/IR",,,,Labor History,[1400]
"[0120-2596, 2323-0622]",Lecturas de Economía,"[3801, 3802, 3803]",,,Lecturas de Economia,LECT ECON,[ECONOMICS],Lecturas de Economia,"[2000, 1400]"
"[0126-5350, 1511-4554]",Malaysian Journal of Economic Studies,"[3801, 3802, 3803]",,,Malaysian Journal of Economic Studies,MALAYS J ECON STUD,[ECONOMICS],Malaysian Journal of Economic Studies,[2000]
[2631-3871],Modern Supply Chain Research and Applications,[3509],,,,,,Modern Supply Chain Research and Applications,[1400]
"[1068-6967, 2575-6222]",Quality Management Journal,"[3507, 3509]",,,Quality Management Journal,QUAL MANAG J,[MANAGEMENT],Quality Management Journal,[1400]
"[0033-5533, 1531-4650]",The Quarterly Journal of Economics,"[3801, 3802, 3803]",Quarterly Journal of Economics,Economics,QUARTERLY JOURNAL OF ECONOMICS,Q J ECON,[ECONOMICS],Quarterly Journal of Economics,[2000]
[2531-0488],,,,,RAUSP Management Journal,RAUSP MANAG J,"[MANAGEMENT, BUSINESS]",RAUSP Management Journal,[1400]
"[1940-5979, 1940-5987]",Review of Behavioral Finance,[3502],,,Review of Behavioral Finance,REV BEHAV FINANCE,"['BUSINESS, FINANCE']",Review of Behavioral Finance,"[2000, 1400]"
"[1923-7529, 1923-8401]",Review of Economics and Finance,"[3502, 3801]",,,,,,Review of Economics and Finance,[2000]
"[0210-2412, 2332-0753]",Spanish Journal of Finance and Accounting,[3502],,,Spanish Journal of Finance and Accounting-Revista Espanola de Financiacion y Contabilidad,SPAN J FINANC ACCOUN,"['BUSINESS, FINANCE']",Revista Espanola de Financiacion y Contabilidad,"[2000, 1400]"
"[1098-1616, 1540-6296]",Risk Management and Insurance Review,[3502],,,RISK MANAGEMENT AND INSURANCE REVIEW,RISK MANAG INSUR REV,"[ECONOMICS, 'BUSINESS, FINANCE']",Risk Management and Insurance Review,"[2000, 1400]"
"[0956-5221, 1873-3387]",Scandinavian Journal of Management,"[3505, 3507]",Scandinavian Journal of Management,Gen & Strat,Scandinavian Journal of Management,SCAND J MANAG,[MANAGEMENT],Scandinavian Journal of Management,[1400]
"[0921-898X, 1573-0913]",Small Business Economics: an international journal,"[35, 38]",Small Business Economics,Entrep,SMALL BUSINESS ECONOMICS,SMALL BUS ECON,"[ECONOMICS, MANAGEMENT, BUSINESS]",Small Business Economics,"[2000, 1400]"
"[2444-9695, 2444-9709]",,,,,Spanish Journal of Marketing-ESIC,SPAN J MARK-ESIC,"[MANAGEMENT, BUSINESS]",Spanish Journal of Marketing - ESIC,[1400]
"[1742-1772, 1742-1780]",,,,,Spatial Economic Analysis,SPAT ECON ANAL,[ECONOMICS],Spatial Economic Analysis,[2000]
"[0322-788X, 1804-8765]",,,,,Statistika-Statistics and Economy Journal,STATISTIKA,[ECONOMICS],Statistika,[2000]
"[0143-2095, 1097-0266]",Strategic Management Journal,[3507],Strategic Management Journal,Gen & Strat,STRATEGIC MANAGEMENT JOURNAL,STRATEGIC MANAGE J,"[MANAGEMENT, BUSINESS]",Strategic Management Journal,[1400]
"[1532-8007, 1070-5511]",,,Structural Equation Modeling,Marketing,,,,Structural Equation Modeling,[2000]
