,institution,country,pub,score,rank,pub.1,score.1,rank.1,pub.2,score.2,rank.2,pub.3,score.3,rank.3,pub.4,score.4,rank.4
77,Rutgers University Newark,USA,50,2.7,77,10.0,1.68,152.0,14.0,2.15,102.0,18.0,3.89,67.0,28.0,2.63,112.0
327,Open University - UK,ENGLAND,54,1.53,327,15.0,1.05,459.0,5.0,1.08,410.0,17.0,1.76,316.0,31.0,1.7,249.0
435,Sun Yat Sen University,CHINA MAINLAND,141,1.34,431,54.0,1.07,425.0,40.0,1.13,346.0,41.0,1.62,350.0,45.0,1.3,403.0
494,Ben Gurion University,ISRAEL,47,1.25,495,27.0,1.25,264.0,6.0,1.02,526.0,6.0,1.36,454.0,10.0,1.26,423.0
519,National Sun Yat Sen University,TAIWAN,65,1.2,519,26.0,1.04,479.0,20.0,1.05,462.0,19.0,1.53,380.0,19.0,1.15,488.0
