# Registry matching
Register,Sources,Matched,Match_rate,Unmatched
JQL,842,834,0.9904988123515439,8
MJL,1413,1396,0.9879688605803255,17
SJL,1602,1378,0.8601747815230961,224
SSL,2979,2769,0.9295065458207452,210

# Pairwise overlaps
Overlap,Sources
MJL ∩ SJL,744
MJL ∩ JQL,548
SJL ∩ JQL,402
MJL ∩ SJL ∩ JQL,375
SSL ∩ JQL,597
SSL ∩ MJL,1160
SSL ∩ SJL,1021
All four registries,367
Union (long-list),3534
