Quantity,type,2000_D1,2000_D9,2024_D1,2024_D9,2000-24_D1,2000-24_D9
Works,count,16809.0,16809.0,73299.0,73299.0,1108668.0,1108668.0
Sources,count,734.0,734.0,1652.0,1652.0,2067.0,2067.0
Institutions,count,1345.0,1345.0,1842.0,1842.0,1846.0,1846.0
Reference counts (out-degree),count,6477.0,6477.0,1809784.0,1809784.0,16627300.0,16627300.0
Citation counts (in-degree),count,612613.0,612613.0,39921.0,39921.0,16414975.0,16414975.0
Works per source,distribution,2.0,47.0,4.0,79.0,24.0,1175.0
Institutions per work,distribution,1.0,3.0,1.0,4.0,1.0,4.0
References per work (out-degree),distribution,1.0,3.0,4.0,59.0,2.0,43.0
Citations per work (in-degree),distribution,2.0,94.0,1.0,4.0,1.0,43.0
