Register,Sources,OA_Match,Match_pct,E,B,A,X
JQL,842,835,99.2,120,260,203,252
MJL,1414,1397,98.8,317,460,371,249
SJL,1603,1380,86.1,229,594,362,194
OAS*,2294,,,395,770,446,683
OAS,1688,,,282,557,335,514
