unit_idx,unit_type,name,issn,field_eb,country_code,a_p,v_EBAX,rank_EBAX,v_E,rank_E,v_B,rank_B,v_A,rank_A,v_X,rank_X,v_eps1,rank_eps1,ext_balance
28166907,institution,Karolinska Institutet,,,SE,45.8247,0.645584,970,0.688874,659,0.31345,1550,2.06298,178,0.897584,819,0.813123,1247,0.0513051
177097968,institution,University of Tennessee at Chattanooga,,,US,71.7484,0.644991,971,0.774069,563,0.719831,882,0.554008,895,,1658,0.708024,1453,0.127762
45044709,source,International Journal of Organization Theory and Behavior,1093-4537,B,,65,0.264699,971,,580,0.249106,521,,127,,54,0.434605,819,-0.0244989
197809005,institution,"University of Campania ""Luigi Vanvitelli""",,,IT,145.138,0.643902,972,0.620659,748,0.618185,1007,1.04537,467,0.976636,739,0.90144,1063,0.230521
193530623,source,Studies in Nonlinear Dynamics and Econometrics,1081-1826,E,,169,0.26435,972,0.221475,387,,779,,127,,54,0.145338,1305,-0.367589
40527276,institution,Universität der Bundeswehr München,,,DE,66.0036,0.643399,973,0.127938,1793,0.773772,814,,1743,,1658,0.70045,1471,0.461538
29659387,source,Industrial and Commercial Training,0019-7858,B,,108,0.263454,973,,580,0.24957,520,,127,,54,0.533618,699,0.0164294
2898392467,source,Future Business Journal,2314-7202,B,,297,0.262957,974,,580,0.208385,545,,127,,54,0.898957,349,0.0606509
66752286,institution,University of Milano-Bicocca,,,IT,236.202,0.643118,974,0.450457,1045,0.845748,738,0.460913,1007,0.588666,1097,0.900576,1066,0.464222
2764518860,source,Annals of Economics and Statistics,1968-3863,E,,37,0.262362,975,0.25975,369,,779,,127,,54,0.152899,1288,0.571429
55952717,institution,Universitat Rovira i Virgili,,,ES,115.574,0.64211,975,0.488279,964,0.661457,951,1.13276,416,0.379092,1314,0.914274,1032,-0.0510148
59995812,source,International Journal of Enterprise Information Systems,1548-1115,B,,38,0.261268,976,,580,0.28291,494,,127,,54,0.564831,651,0.41784
204730241,institution,Université Paris Cité,,,FR,82.2082,0.641199,976,0.688599,661,0.31151,1559,0.795713,667,0.104448,1572,0.507526,1764,0.431185
2736877889,source,Management & Marketing,1842-0206,B,,133,0.260269,977,,580,0.232433,536,,127,,54,0.765148,451,0.00473934
27577105,institution,University College Cork,,,IE,222.447,0.640881,977,0.667155,681,0.602473,1039,0.873041,605,0.730807,960,0.822373,1226,0.148212
166753014,source,Health Services Management Research,0951-4848,A,,132,0.259555,978,,580,,779,0.254829,51,,54,0.355941,945,0.295374
39804081,institution,Sorbonne Université,,,FR,45.5541,0.640437,978,0.796542,541,0.355538,1457,0.298843,1247,0.25573,1421,0.390554,1876,0.184713
4210230847,source,Schmalenbach Journal of Business Research,0341-2687,B,,101,0.258973,979,,580,0.252157,518,,127,,54,0.345667,964,-0.22449
