,Name,Group,Class,id,short_id,display_name,hint,cited_by_count,works_count,external_id
0,"Moll, Benjamin",C,German_Bernacer_Prize,https://openalex.org/A5032528341,authors/A5032528341,Benjamin Moll,"London School of Economics and Political Science, UK",6331.0,85.0,
0,"Moll, Benjamin",C,ERC,https://openalex.org/A5032528341,authors/A5032528341,Benjamin Moll,"London School of Economics and Political Science, UK",6331.0,85.0,
0,"Burke, Marshall",C,bet paper awards,https://openalex.org/A5042407637,authors/A5042407637,Marshall Burke,"Stanford University, USA",27408.0,308.0,https://orcid.org/0000-0003-4288-5858
0,"Reis, Ricardo",C,German_Bernacer_Prize,https://openalex.org/A5006318958,authors/A5006318958,Ricardo Reis,"National Bureau of Economic Research, USA",10739.0,249.0,https://orcid.org/0000-0003-4844-9483
1,"Zhang, Weike",T,HCP,https://openalex.org/A5031062522,authors/A5031062522,Weike Zhang,"Sichuan University, China",2739.0,62.0,https://orcid.org/0000-0002-5176-4460
1,"Huang, Ming-Hui",T,HCP,https://openalex.org/A5067763065,authors/A5067763065,Ming‐Hui Huang,,11051.0,149.0,https://orcid.org/0000-0001-8954-3172
8,"Mohsin, Muhammad",T,HCP,https://openalex.org/A5009307388,authors/A5009307388,Muhammad Mohsin,"Jiangsu University, China",13009.0,194.0,https://orcid.org/0000-0002-4723-4184
0,"Kostova, Tatiana",T,HCP,https://openalex.org/A5061656331,authors/A5061656331,Tatiana Kostova,,22309.0,71.0,
0,"Obstfeld, Maurice",C,John Von Neumann Award,https://openalex.org/A5018047996,authors/A5018047996,Maurice Obstfeld,"National Bureau of Economic Research, USA",31464.0,440.0,https://orcid.org/0000-0003-2746-8538
0,"Bansal, Pratima",T,HCP,https://openalex.org/A5046485145,authors/A5046485145,Pratima Bansal,"Western University, Canada",23136.0,142.0,https://orcid.org/0000-0002-7899-9622
0,"Allcott, Hunt",C,Atkinson Award,https://openalex.org/A5069987310,authors/A5069987310,Hunt Allcott,"Stanford University, USA",22913.0,195.0,
0,"Nanda, Ramana",C,ERC,https://openalex.org/A5050841292,authors/A5050841292,Ramana Nanda,"Harvard University, USA",6456.0,172.0,https://orcid.org/0000-0001-7920-7730
1,"Gaechter, Simon",C,ERC,https://openalex.org/A5109907907,authors/A5109907907,Simon Gächter,,36680.0,198.0,
0,"Eeckhout, Jan",C,ERC,https://openalex.org/A5043222365,authors/A5043222365,Jan Eeckhout,"Institució Catalana de Recerca i Estudis Avançats, Spain",5750.0,119.0,https://orcid.org/0000-0001-6509-4296
0,"Yogo, Motohiro",C,SFI BEST PAPER AWARD,https://openalex.org/A5048794076,authors/A5048794076,Motohiro Yogo,"National Bureau of Economic Research, USA",9868.0,138.0,https://orcid.org/0000-0001-8778-778X
0,"Kunz, Werner H.",T,HCP,https://openalex.org/A5053767623,authors/A5053767623,Werner H. Kunz,"Boston University, USA",7613.0,139.0,https://orcid.org/0000-0001-6264-183X
0,"Nakamura, Emi",C,John_Bates_Clark_Medal,https://openalex.org/A5055718351,authors/A5055718351,Emi Nakamura,"Juntendo University, Japan",8350.0,181.0,https://orcid.org/0000-0003-1926-2118
0,"Greenwood, Robin",C,SFI BEST PAPER AWARD,https://openalex.org/A5110548704,authors/A5110548704,Robin Greenwood,"Boston University, USA",9384.0,145.0,
1,"Blanchard, Olivier",C,John Von Neumann Award,https://openalex.org/A5037232892,authors/A5037232892,Olivier Blanchard,"Peterson Institute for International Economics, USA",58684.0,659.0,https://orcid.org/0000-0003-1308-3207
0,"Maggiori, Matteo",C,German_Bernacer_Prize,https://openalex.org/A5065807417,authors/A5065807417,Matteo Maggiori,,5343.0,242.0,
0,"Rodrik, DanI",C,John Von Neumann Award,https://openalex.org/A5113832316,authors/A5113832316,Dani Rodrik,"National Bureau of Economic Research, USA",67590.0,540.0,
0,"Yang, Xiaodong",T,HCP,https://openalex.org/A5041985951,authors/A5041985951,Xiaodong Yang,"Ningbo University, China",4667.0,236.0,https://orcid.org/0000-0002-3553-2125
0,"Murphy, Kevin M.",C,John Von Neumann Award,https://openalex.org/A5103962165,authors/A5103962165,Kevin M. Murphy,"Mercy University Hospital, Ireland",792.0,15.0,
0,"Mikalef, Patrick",T,HCP,https://openalex.org/A5076679564,authors/A5076679564,Patrick Mikalef,"Norwegian University of Science and Technology, Norway",15653.0,190.0,https://orcid.org/0000-0002-6788-2277
0,"Kojima, Fuhito",C,Nakahara_Prize,https://openalex.org/A5072023922,authors/A5072023922,Fuhito Kojima,"Japan University of Economics, Japan",3792.0,113.0,https://orcid.org/0000-0002-1154-2652
0,"Fuchs-Schuendeln, Nicola",C,Gossen_Prize,,,,,,,
6,"Dubois, Pierre",C,ERC,https://openalex.org/A5005398233,authors/A5005398233,Rachel Griffith,"University of Southampton, UK",25550.0,398.0,https://orcid.org/0000-0002-8616-5820
0,"Hsiang, Solomon",C,Andrew Carnegie Fellow Award,https://openalex.org/A5056371388,authors/A5056371388,Solomon Hsiang,"Stanford University, USA",18867.0,241.0,https://orcid.org/0000-0002-2074-0829
0,"Harstad, Bard",C,ERC,https://openalex.org/A5112601992,authors/A5112601992,Bård Harstad,"Stanford University, USA",1879.0,99.0,
3,"Ren, Siyu",T,HCP,https://openalex.org/A5072191452,authors/A5072191452,Siyu Ren,"University of Science and Technology of China, China",9422.0,123.0,https://orcid.org/0000-0002-0369-1519
1,"Deaton, Angus",C,Nobel Prize,https://openalex.org/A5036192906,authors/A5036192906,Angus Deaton,,66959.0,664.0,https://orcid.org/0000-0002-9222-8023
9,"Li, Zhenghui",T,HCP,https://openalex.org/A5100696692,authors/A5100696692,Zhenghui Li,"Jiangxi University of Traditional Chinese Medicine, China",4911.0,207.0,https://orcid.org/0000-0002-3721-4243
0,"Spiliotis, Evangelos",T,HCP,https://openalex.org/A5015832946,authors/A5015832946,Evangelos Spiliotis,"National Technical University of Athens, Greece",5127.0,102.0,https://orcid.org/0000-0002-1854-1206
0,"Makridakis, Spyros",T,HCP,https://openalex.org/A5022353147,authors/A5022353147,Spyros Makridakis,"University of Nicosia, Cyprus",20389.0,208.0,https://orcid.org/0000-0003-2519-8095
0,"Nambisan, Satish",T,HCP,https://openalex.org/A5044486360,authors/A5044486360,Satish Nambisan,"Case Western Reserve University, USA",21280.0,106.0,https://orcid.org/0000-0001-9375-5223
0,"Tenreyro, Silvana",C,ERC,https://openalex.org/A5053384308,authors/A5053384308,Silvana Tenreyro,"Centre for Economic Policy Research, UK",12243.0,107.0,https://orcid.org/0000-0002-9816-7452
0,"Gawer, Annabelle",T,HCP,https://openalex.org/A5034801924,authors/A5034801924,Annabelle Gawer,"University of Surrey, UK",14708.0,107.0,https://orcid.org/0000-0001-9919-9088
0,"Kwok, Chuck C. Y.",C,Moskowitz Prize,https://openalex.org/A5054813318,authors/A5054813318,Chuck C.Y. Kwok,"University of South Carolina, USA",10307.0,111.0,https://orcid.org/0000-0003-1886-5478
0,"Smith, Wendy K.",T,HCP,https://openalex.org/A5110746760,authors/A5110746760,Wendy K. Smith,"University of Delaware, USA",16772.0,120.0,https://orcid.org/0000-0002-6019-7699
0,"Shiller, Robert J.",C,Nobel Prize,https://openalex.org/A5051645674,authors/A5051645674,Robert J. Shiller,"National Bureau of Economic Research, USA",53742.0,510.0,
2,"Goldin, Claudia",C,Nobel Prize,https://openalex.org/A5113890882,authors/A5113890882,Edward L. Glaeser,"Brookings Institution, USA",62601.0,561.0,
0,"Deschenes, Olivier",T,HCP,https://openalex.org/A5080582136,authors/A5080582136,Olivier Deschênes,"National Bureau of Economic Research, USA",10137.0,139.0,https://orcid.org/0000-0002-8737-0068
0,"Doepke, Matthias",C,ERC,https://openalex.org/A5075247079,authors/A5075247079,Matthias Doepke,"National Bureau of Economic Research, USA",9260.0,232.0,https://orcid.org/0000-0001-8073-6138
0,"Starks, Laura T.",C,Swedish Skandia Award and Moskowitz Prize,https://openalex.org/A5081692376,authors/A5081692376,Laura T. Starks,,31806.0,175.0,https://orcid.org/0000-0001-9388-069X
8,"Berg, Tobias",C,ERC,https://openalex.org/A5031587949,authors/A5031587949,Tobias Berger,"Linnaeus University, Sweden",3430.0,18.0,
0,"Morse, Adair",C,Moskowitz Prize,https://openalex.org/A5013391291,authors/A5013391291,Adair Morse,"National Bureau of Economic Research, USA",8203.0,97.0,
0,"Fama, Eugene F.",C,Nobel Prize,https://openalex.org/A5091820687,authors/A5091820687,Eugene F. Fama,"University of Chicago, USA",256312.0,239.0,
0,"Dogan, Eyup",T,HCP,https://openalex.org/A5063329602,authors/A5063329602,Eyüp Doğan,"University of Sharjah, United Arab Emirates",14236.0,104.0,
0,"Pastor, Lubos",C,Moskowitz Prize,https://openalex.org/A5078912696,authors/A5078912696,Ľuboš Pástor,"Center for Economic and Policy Research, USA",26706.0,149.0,https://orcid.org/0000-0002-7946-8057
0,"Calvano, Emilio",C,ERC,https://openalex.org/A5030092162,authors/A5030092162,Emilio Calvano,,1622.0,46.0,https://orcid.org/0000-0001-5899-6742
0,"Marquis, Christopher",C,Several book and paper awards,https://openalex.org/A5018951614,authors/A5018951614,Christopher Marquis,"University of Cambridge, UK",6569.0,205.0,https://orcid.org/0000-0003-0926-0565
0,"Itskhoki, Oleg",C,John_Bates_Clark_Medal,https://openalex.org/A5088518091,authors/A5088518091,Oleg Itskhoki,"Harvard University, USA",5541.0,123.0,https://orcid.org/0000-0002-5669-0771
0,"Venkateswaran, Venky",C,SFI BEST PAPER AWARD,https://openalex.org/A5011891408,authors/A5011891408,Venky Venkateswaran,"The Stern Cardiovascular Foundation, USA",1798.0,67.0,https://orcid.org/0000-0003-1378-8987
1,"Martin, Alberto",C,ERC,https://openalex.org/A5027612338,authors/A5027612338,Alberto Martini,"University of Siena, Italy",47266.0,1069.0,https://orcid.org/0000-0001-7642-1459
1,"Casalo, Luis, V",T,HCP,https://openalex.org/A5039082874,authors/A5039082874,Luis V. Casaló,"Universidad de Zaragoza, Spain",13132.0,147.0,https://orcid.org/0000-0002-9643-2814
0,"Sussman, Abigail B.",C,Moskowitz Prize,https://openalex.org/A5027438856,authors/A5027438856,Abigail B. Sussman,"University of Chicago, USA",3231.0,95.0,https://orcid.org/0000-0002-5333-558X
0,"Bauer, Rob",C,Moskowitz Prize,https://openalex.org/A5090287547,authors/A5090287547,Rob Bauer,"Maastricht University, Netherlands",8712.0,143.0,https://orcid.org/0000-0003-1468-1313
0,"Ljungqvist, Alexander",C,ERC,https://openalex.org/A5084233777,authors/A5084233777,Alexander Ljungqvist,"Stockholm School of Economics, Sweden",16457.0,160.0,https://orcid.org/0000-0002-6823-7771
0,"Razzaq, Asif",T,HCP,https://openalex.org/A5108775223,authors/A5108775223,Asif Razzaq,"Urumqi Vocational University, China",12634.0,127.0,
0,"Kline, Patrick",C,Sherwin Rosen Prize,https://openalex.org/A5035282458,authors/A5035282458,Patrick Kline,"Berkeley College, USA",12109.0,121.0,
