source_idx,source_name,era_journal_name,harzing_journal_name,wos_journal_name,n_refs,n_exogenous,frac_exogenous
4210179427,Academia Revista Latinoamericana de Administración,,,Academia-Revista Latinoamericana de Administracion,19804,8080,0.408
164875865,International Journal of Banking Accounting and Finance,"International Journal of Banking, Accounting and Finance",,,3615,1477,0.4086
138197279,International Journal of Trade and Global Markets,International Journal of Trade and Global Markets,,,2994,1225,0.4092
165881774,The B E Journal of Theoretical Economics,,B.E. Journal of Theoretical Economics,B E Journal of Theoretical Economics,10024,4103,0.4093
2764987631,Academy of Marketing Studies journal,Academy of Marketing Studies Journal,,,3442,1410,0.4096
69604123,Review of Marketing Science,Review of Marketing Science,,,4192,1718,0.4098
91781374,Accounting History,Accounting History,Accounting History,Accounting History,20390,8364,0.4102
4210226649,Competitiveness Review An International Business Journal incorporating Journal of Global Competitiveness,Competitiveness Review,,Competitiveness Review,30687,12594,0.4104
1558358,Journal of Business Strategy,Journal of Business Strategy,Journal of Business Strategy,,6327,2597,0.4105
4210230413,Management Research Review,Management Research Review: Communication of emergent international management research,,Management Research Review,73897,30338,0.4105
4210237991,International Journal of Electronic Banking,International Journal of Electronic Banking,,,95,39,0.4105
98018944,Journal of business market management,Journal of Business Market Management,,,801,329,0.4107
4210181806,South Asian Journal of Business Studies,,,South Asian Journal of Business Studies,14649,6020,0.4109
126021079,International Journal of Sport Finance,International Journal of Sport Finance,,,7583,3118,0.4112
98077829,International Journal of Monetary Economics and Finance,International Journal of Monetary Economics and Finance,,,3039,1251,0.4116
191031105,Asia Pacific Journal of Marketing and Logistics,Asia Pacific Journal of Marketing and Logistics,Asia Pacific Journal of Marketing and Logistics,Asia Pacific Journal of Marketing and Logistics,84097,34613,0.4116
2058785,Journal of money credit and banking,"Journal of Money, Credit and Banking","Journal of Money, Credit and Banking",JOURNAL OF MONEY CREDIT AND BANKING,52150,21519,0.4126
71564990,Frontiers of Business Research in China,,,Frontiers of Business Research in China,10279,4244,0.4129
171484276,International Journal of Learning and Intellectual Capital,International Journal of Learning and Intellectual Capital,,INTERNATIONAL JOURNAL OF LEARNING AND INTELLECTUAL CAPITAL,4300,1779,0.4137
89611103,Global economy journal,Global Economy Journal,,Global Economy Journal,8684,3594,0.4139
149070780,Production and Operations Management,,Production and Operations Management,,105617,43728,0.414
4210183343,Journal of Creating Value,Journal of Creating Value,,Journal of Creating Value,5355,2217,0.414
134953813,Economics bulletin,Economics Bulletin,,Economics Bulletin,10700,4432,0.4142
2764964828,The Journal of Applied Management and Entrepreneurship,Journal of Applied Management and Entrepreneurship,,,656,272,0.4146
91071628,Journal of East European Management Studies,Journal of East European Management Studies,,Journal of East European Management Studies,6583,2731,0.4149
76900604,International Journal of Strategic Change Management,International Journal of Strategic Change Management,,,3111,1291,0.415
45224653,Journal of Research in Interactive Marketing,Journal of Research in Interactive Marketing,,Journal of Research in Interactive Marketing,28979,12029,0.4151
172782825,California Management Review,California Management Review,California Management Review,CALIFORNIA MANAGEMENT REVIEW,3143,1306,0.4155
22496144,Foundations and Trends® in Finance,Foundations and Trends in Finance,,,2356,979,0.4155
184446198,Journal of Public Economic Theory,Journal of Public Economic Theory,Journal of Public Economic Theory,Journal of Public Economic Theory,25938,10785,0.4158
130699561,Technology Analysis and Strategic Management,,Technology Analysis and Strategic Management,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,85135,35432,0.4162
164338815,EuroMed Journal of Business,EuroMed Journal of Business,,EuroMed Journal of Business,29923,12458,0.4163
4210174125,Global Journal of Economics,Global Journal of Economics,,,561,234,0.4171
145507837,Industrial and Corporate Change,Industrial and Corporate Change,Industrial and Corporate Change,INDUSTRIAL AND CORPORATE CHANGE,62329,26006,0.4172
23218617,Journal of International Trade & Economic Development,,,Journal of International Trade & Economic Development,36964,15420,0.4172
2764352250,Indian Journal of Marketing,Indian Journal of Marketing,,,321,134,0.4174
93284759,Journal of Business Research,Journal of Business Research,Journal of Business Research,Journal of Business Research,637217,266094,0.4176
62069514,The Journal of Entrepreneurship,The Journal of Entrepreneurship,,Journal of Entrepreneurship,13060,5454,0.4176
4210189013,Management Review Quarterly,Management Review Quarterly,,Management Review Quarterly,44155,18442,0.4177
196955526,Journal of Asia-Pacific Business,Journal of Asia Pacific Business,,,10970,4598,0.4191
115237062,Journal of Economics & Management Strategy,Journal of Economics and Management Strategy,Journal of Economics and Management Strategy,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,26335,11038,0.4191
134094273,Human Resource Management,,Human Resource Management,HUMAN RESOURCE MANAGEMENT,70770,29673,0.4193
2798767114,Corporate Board role duties and composition,"Corporate Board: role, duties and composition",,,13583,5697,0.4194
170913539,Bulletin of Economic Research,Bulletin of Economic Research,Bulletin of Economic Research,BULLETIN OF ECONOMIC RESEARCH,22916,9626,0.4201
4210241102,Innovation & Management Review,,,Innovation & Management Review,7211,3031,0.4203
127111275,Accounting and the Public Interest,Accounting and the Public Interest,,,4571,1921,0.4203
23257470,Journal of Property Research,Journal of Property Research,,,11152,4689,0.4205
4210172917,International Review of Business Research Papers,International Review of Business Research Papers,,,849,357,0.4205
152897404,Research-Technology Management,Research Technology Management: international journal of research management,Research Technology Management,RESEARCH-TECHNOLOGY MANAGEMENT,7163,3013,0.4206
4210207936,Schmalenbach Business Review,Schmalenbach Business Review,Schmalenbach Business Review,,12910,5431,0.4207
132285554,Creativity and Innovation Management,Creativity and Innovation Management,Creativity and Innovation Management,Creativity and Innovation Management,48232,20297,0.4208
185325801,Journal of Korea Trade,,,Journal of Korea Trade,2600,1094,0.4208
4210218316,European Journal of Management and Business Economics,European Journal of Management and Business Economics,,European Journal of Management and Business Economics,16486,6941,0.421
168680943,Annals of economics and finance,Annals of the Economics and Finance,,Annals of Economics and Finance,2883,1215,0.4214
188742231,International Journal of Innovation Science,International Journal of Innovation Science,,International Journal of Innovation Science,25373,10696,0.4216
2764482395,Journal of business & entrepreneurship,Journal of Business and Entrepreneurship,,,590,249,0.422
34937439,International Journal of Globalisation and Small Business,International Journal of Globalisation and Small Business,,,2504,1057,0.4221
2764804572,Economic Theory Bulletin,Economic Theory Bulletin,,Economic Theory Bulletin,5203,2199,0.4226
44261207,Hitotsubashi journal of economics,Hitotsubashi Journal of Economics,,HITOTSUBASHI JOURNAL OF ECONOMICS,1959,828,0.4227
38196630,Asia-Pacific Journal of Business Administration,Asia-Pacific Journal of Business Administration,,Asia-Pacific Journal of Business Administration,28284,11962,0.4229
4210173453,AMS Review,AMS Review,,,21885,9263,0.4233
100711025,Review of Derivatives Research,Review of Derivatives Research,Review of Derivatives Research,Review of Derivatives Research,5914,2504,0.4234
177792750,Decision Sciences,Decision Sciences,Decision Sciences,DECISION SCIENCES,35676,15109,0.4235
181870614,Journal of Financial Economic Policy,,,Journal of Financial Economic Policy,19066,8076,0.4236
207154782,Journal of Financial Econometrics,Journal of Financial Econometrics,Journal of Financial Econometrics,Journal of Financial Econometrics,18933,8025,0.4239
4210171825,American Business Review,American Business Review,,,8196,3475,0.424
4210189271,Leadership & Organization Development Journal,Leadership and Organization Development Journal,Leadership and Organization Development Journal,LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,57598,24424,0.424
5984737,Journal of Financial Intermediation,Journal of Financial Intermediation,Journal of Financial Intermediation,JOURNAL OF FINANCIAL INTERMEDIATION,20165,8550,0.424
579031,Economic Theory,Economic Theory,Economic Theory,ECONOMIC THEORY,38928,16514,0.4242
201533460,Applied Economics,Applied Economics,Applied Economics,APPLIED ECONOMICS,255722,108541,0.4244
61992289,Journal of Advertising Research,Journal of Advertising Research,Journal of Advertising Research,JOURNAL OF ADVERTISING RESEARCH,23050,9782,0.4244
52073566,International Journal of Technology Transfer and Commercialisation,International Journal of Technology Transfer and Commercialisation,,,2255,957,0.4244
2764672172,Academy of Accounting and Financial Studies journal,Academy of Accounting and Financial Studies Journal,,,5136,2181,0.4246
79007945,Business Ethics A European Review,,"Business Ethics, the Environment & Reponsibility",,27058,11490,0.4246
2764678689,Accounting and Finance Research,Accounting and Finance Research,,,18577,7899,0.4252
93195727,International Journal of Management and Enterprise Development,International Journal of Management and Enterprise Development,,,4201,1787,0.4254
4210193709,Asia Pacific Journal of Innovation and Entrepreneurship,Asia Pacific Journal of Innovation and Entrepreneurship,,Asia Pacific Journal of Innovation and Entrepreneurship,8018,3412,0.4255
141901250,Strategic Change,,Strategic Change,Strategic Change-Briefings in Entrepreneurial Finance,32800,13959,0.4256
66201313,Journal of Business Venturing,Journal of Business Venturing,Journal of Business Venturing,JOURNAL OF BUSINESS VENTURING,79298,33761,0.4257
34139249,The RAND Journal of Economics,RAND Journal of Economics,RAND Journal of Economics,RAND JOURNAL OF ECONOMICS,21085,8984,0.4261
49331332,Service Industries Journal,Service Industries Journal,Service Industries Journal,SERVICE INDUSTRIES JOURNAL,79984,34080,0.4261
4210191533,Customer Needs and Solutions,Customer Needs and Solutions,,,6233,2656,0.4261
136286870,Journal of Indian Business Research,Journal of Indian Business Research,,Journal of Indian Business Research,19002,8108,0.4267
44376543,Business & Society,Business and Society,Business and Society,Business & Society,52368,22358,0.4269
2764560602,International Journal of Business Strategy,International Journal of Business Strategy,,,351,150,0.4274
136745531,Macroeconomic Dynamics,Macroeconomic Dynamics,Macroeconomic Dynamics,MACROECONOMIC DYNAMICS,48543,20784,0.4282
51184730,International Journal of Business Excellence,International Journal of Business Excellence,,,8505,3643,0.4283
4210207324,Journal of Database Marketing & Customer Strategy Management,Journal of Database Marketing and Customer Strategy Management,,,2094,897,0.4284
4404664192,Journal of securities operations & custody,Journal of Securities Operations and Custody,,,14,6,0.4286
105567970,European Management Journal,European Management Journal,European Management Journal,European Management Journal,97294,41732,0.4289
95323914,Journal of Political Economy,Journal of Political Economy,Journal of Political Economy,JOURNAL OF POLITICAL ECONOMY,39237,16846,0.4293
8557221,Journal of Labor Economics,Journal of Labor Economics,Journal of Labor Economics,JOURNAL OF LABOR ECONOMICS,23675,10169,0.4295
154432073,Foundations and Trends® in Technology Information and Operations Management,"Foundations and Trends in Technology, Information and Operations Management",,,1234,530,0.4295
62126747,The Singapore Economic Review,Singapore Economic Review,,SINGAPORE ECONOMIC REVIEW,43816,18828,0.4297
71783669,Review of International Economics,Review of International Economics,Review of International Economics,Review of International Economics,33428,14372,0.4299
3409213,Service Business,Service Business: an international journal,,Service Business,32048,13781,0.43
34649780,Measuring Business Excellence,Measuring Business Excellence,,Measuring Business Excellence,21423,9227,0.4307
117778295,Academy of Management Journal,Academy of Management Journal,Academy of Management Journal,ACADEMY OF MANAGEMENT JOURNAL,115440,49743,0.4309
967494592,Global Business Review,Global Business Review,,Global Business Review,78145,33674,0.4309
47993699,Journal of Engineering and Technology Management,Journal of Engineering and Technology Management,Journal of Engineering and Technology Management - JE,JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,34870,15041,0.4313
4210179748,Audit Financiar,Financial Audit,,,1982,856,0.4319
9019866,Journal of Transnational Management,Journal of Transnational Management,,,9436,4079,0.4323
69065261,International Journal of Inventory Research,International Journal of Inventory Research,,,201,87,0.4328
4210168739,M n gement,M@n@gement,M@n@gement,Management,16557,7168,0.4329
2898402987,Spanish Journal of Marketing - ESIC,,,Spanish Journal of Marketing-ESIC,14955,6476,0.433
11647023,Applied Economics Quarterly,Applied Economics Quarterly,,,6112,2649,0.4334
123914889,International Journal of Entrepreneurship and Small Business,International Journal of Entrepreneurship and Small Business,,International Journal of Entrepreneurship & Small Business,23512,10190,0.4334
196564809,The B E Journal of Macroeconomics,The BE Journal of Macroeconomics,B.E. Journal of Macroeconomics,B E Journal of Macroeconomics,14185,6153,0.4338
27614628,Academy of Management Annals,The Academy of Management Annals,Academy of Management Annals,Academy of Management Annals,85861,37252,0.4339
82530445,Romanian Journal of Economic Forecasting,,,Romanian Journal of Economic Forecasting,4316,1874,0.4342
33741590,Academy of Management Perspectives,,Academy of Management Perspectives,Academy of Management Perspectives,35008,15210,0.4345
45303301,Critical Perspectives on International Business,Critical Perspectives on International Business,Critical Perspectives on International Business,Critical Perspectives on International Business,22413,9751,0.4351
117460449,Asia Pacific Business Review,Asia Pacific Business Review,Asia Pacific Business Review,Asia Pacific Business Review,36999,16106,0.4353
192266589,Group & Organization Management,,Group and Organization Management,GROUP & ORGANIZATION MANAGEMENT,49396,21515,0.4356
200838492,Manchester School,The Manchester School,Manchester School,MANCHESTER SCHOOL,24139,10519,0.4358
11810700,International Journal of Research in Marketing,International Journal of Research in Marketing,International Journal of Research in Marketing,INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,50299,21932,0.436
2735550652,Journal of the Association of Environmental and Resource Economists,Journal of the Association of Environmental and Resource Economists,Journal of the Association of Environmental and Resource,Journal of the Association of Environmental and Resource Economists,17436,7612,0.4366
55985146,International Journal of Services Sciences,International Journal of Services Sciences,,,1246,544,0.4366
4210221200,J for International Business and Entrepreneurship Development,,,Journal for International Business and Entrepreneurship Development,2788,1218,0.4369
4210240690,Journal of Asian Business and Economic Studies,,,Journal of Asian Business and Economic Studies,6824,2982,0.437
2764774255,Asian Journal of Finance & Accounting,Asian Journal of Finance and Accounting,,,11546,5047,0.4371
157427695,International Journal of Islamic and Middle Eastern Finance and Management,International Journal of Islamic and Middle Eastern Finance and Management,,International Journal of Islamic and Middle Eastern Finance and Management,24997,10930,0.4373
55766468,International Studies of Management and Organization,International Studies of Management and Organization,International Studies of Management and Organization,INTERNATIONAL STUDIES OF MANAGEMENT & ORGANIZATION,21479,9395,0.4374
191114782,Journal of Fashion Marketing and Management,Journal of Fashion Marketing and Management,,Journal of Fashion Marketing and Management,30931,13545,0.4379
997943089,Foundations and Trends® in Marketing,Foundations and Trends in Marketing,,Foundations and Trends in Marketing,2725,1195,0.4385
2737963727,Indonesian Capital Market Review,,,Indonesian Capital Market Review,2063,905,0.4387
179979277,International Economic Review,International Economic Review,International Economic Review,INTERNATIONAL ECONOMIC REVIEW,38709,17001,0.4392
49327401,Journal of Sports Economics,Journal of Sports Economics,,Journal of Sports Economics,16437,7227,0.4397
194824457,The Geneva Risk and Insurance Review,The Geneva Risk and Insurance Review,Geneva Risk and Insurance Review,Geneva Risk and Insurance Review,5807,2554,0.4398
160194987,Journal of Industry Competition and Trade,"Journal of Industry, Competition and Trade: from theory to policy",,Journal of Industry Competition & Trade,12941,5693,0.4399
2764768042,Journal of Economics Finance and Administrative Science,"Journal of Economics, Finance and Administrative Science",,Journal of Economics Finance and Administrative Science,9849,4335,0.4401
116184629,National Tax Journal,National Tax Journal,National Tax Journal,NATIONAL TAX JOURNAL,11998,5285,0.4405
92709572,Journal of Interactive Marketing,Journal of Interactive Marketing,Journal of Interactive Marketing,JOURNAL OF INTERACTIVE MARKETING,29455,12978,0.4406
103378164,Journal of Euromarketing,Journal of Euromarketing,,,11791,5196,0.4407
2764351440,Accounting & taxation,Accounting & Taxation,,,397,175,0.4408
4210232289,Annals in Social Responsibility,,,Annals in Social Responsibility,1316,581,0.4415
171812798,Metroeconomica,Metroeconomica: international review of economics,,Metroeconomica,20545,9070,0.4415
2764519517,Bestuursdinamika,Management Dynamics,,,120,53,0.4417
2764827305,International Journal of Financial Studies,International Journal of Financial Studies,,International Journal of Financial Studies,40945,18092,0.4419
155657779,International Journal of Business Innovation and Research,International Journal of Business Innovation and Research,,,9651,4265,0.4419
2764716688,Journal of International Finance and Economics,Journal of International Finance and Economics,,,131,58,0.4427
158705510,Journal of Economic Studies,Journal of Economic Studies,,JOURNAL OF ECONOMIC STUDIES,47121,20867,0.4428
88045947,The International Trade Journal,The International Trade Journal,,International Trade Journal,14114,6251,0.4429
23246025,Corporate Reputation Review,Corporate Reputation Review: an international journal,,CORPORATE REPUTATION REVIEW,21763,9638,0.4429
158129444,Journal of Developmental Entrepreneurship,Journal of Developmental Entrepreneurship,,Journal of Developmental Entrepreneurship,23750,10529,0.4433
103309803,International Journal of Quality and Service Sciences,International Journal of Quality and Service Sciences,,International Journal of Quality and Service Sciences,22399,9939,0.4437
3035068822,Journal of Organization Design,,,Journal of Organization Design,9507,4220,0.4439
2764400943,Journal of Global Fashion Marketing,Journal of Global Fashion Marketing,,Journal of Global Fashion Marketing,16877,7498,0.4443
114193083,Chinese Economy,The Chinese Economy: translation and studies,,CHINESE ECONOMY,12146,5403,0.4448
4210204469,International Journal of Economics and Accounting,International Journal of Economics and Accounting,,,2442,1087,0.4451
18469005,Latin American Business Review,Latin American Business Review,,Latin American Business Review,11124,4958,0.4457
2764783623,Asian Journal of Business and Accounting,Asian Journal of Business and Accounting,,Asian Journal of Business and Accounting,9108,4062,0.446
11782782,Australasian Marketing Journal (AMJ),Australasian Marketing Journal,Australasian Marketing Journal,Australasian Marketing Journal,36011,16077,0.4464
121634618,Journal of Financial Stability,Journal of Financial Stability,Journal of Financial Stability,Journal of Financial Stability,53971,24093,0.4464
1086168,International Journal of Critical Accounting,International Journal of Critical Accounting,,,3751,1677,0.4471
129963087,Journal of Islamic accounting and business research,Journal of Islamic Accounting and Business Research,,Journal of Islamic Accounting and Business Research,35256,15766,0.4472
74137692,International Journal of Technoentrepreneurship,International Journal of Technoentrepreneurship,,,362,162,0.4475
2764532243,Korean Economic Review/The Korean economic review,,,Korean Economic Review,2236,1001,0.4477
113338421,International Journal of Business Performance Management,International Journal of Business Performance Management,,International Journal of Business Performance Management,4955,2221,0.4482
2898242091,Journal of Business Venturing Insights,Journal of Business Venturing Insights,Journal of Business Venturing Insights,,27602,12374,0.4483
2764889392,Accounting Historians Journal,Accounting Historians Journal,Accounting Historians Journal,Accounting Historians Journal,4423,1983,0.4483
206124708,Organization Science,Organization Science,Organization Science,ORGANIZATION SCIENCE,123735,55487,0.4484
200274427,Pacific Economic Review,Pacific Economic Review,Pacific Economic Review,Pacific Economic Review,15820,7105,0.4491
58276920,Journal of European real estate research,Journal of European Real Estate Research,,Journal of European Real Estate Research,10796,4850,0.4492
2898542531,Revista de Contabilidad,,,Revista de Contabilidad-Spanish Accounting Review,20969,9420,0.4492
148814761,Journal of International Consumer Marketing,Journal of International Consumer Marketing,,Journal of International Consumer Marketing,28693,12892,0.4493
64831726,Journal of Leadership & Organizational Studies,Journal of Leadership and Organizational Studies,,Journal of Leadership & Organizational Studies,37440,16832,0.4496
4210170805,Marketing ZFP,Marketing ZFP: Journal of Research and Management,,,1561,702,0.4497
4210185932,J for Global Business Advancement,Journal for Global Business Advancement,,,4064,1829,0.45
4404675641,International journal of business science & applied management.,International Journal of Business Science and Applied Management,,,4392,1978,0.4504
2736592181,Revista Contabilidade & Finanças,Accounting and Finance Review,,,20825,9397,0.4512
129650269,Open Economies Review,Open Economies Review,,OPEN ECONOMIES REVIEW,23652,10688,0.4519
196034224,MIT Sloan management review,MIT Sloan Management Review: MIT's journal of management research and ideas,MIT Sloan Management Review,MIT SLOAN MANAGEMENT REVIEW,135,61,0.4519
2764555313,International Journal of Business,International Journal of Business,,International Journal of Business,5261,2378,0.452
19785326,The Marketing Review,The Marketing Review,,,3098,1401,0.4522
8124760,Journal of Management & Organization,Journal of Management and Organization,Journal of Management and Organization,Journal of Management & Organization,93077,42093,0.4522
4210181832,Total Quality Management & Business Excellence,Total Quality Management and Business Excellence,Total Quality Management and Business Excellence,TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE,77673,35192,0.4531
4210190792,South Asian Journal of Macroeconomics and Public Finance,South Asian Journal of Macroeconomics and Public Finance,,South Asian Journal of Macroeconomics and Public Finance,3990,1809,0.4534
2764412428,Investment Management and Financial Innovations,Investment Management and Financial Innovations,,,35383,16056,0.4538
10615428,Journal of Real Estate Literature,Journal of Real Estate Literature,,,4872,2211,0.4538
55416568,International Journal of Procurement Management,International Journal of Procurement Management,,,9793,4446,0.454
4210175448,Recherche et Applications en Marketing (French Edition),Recherche et Applications en Marketing,,Recherche et Applications en Marketing-English Edition,24746,11239,0.4542
1008349740,Foundations and Trends® in Accounting,Foundations and Trends in Accounting,,,1424,647,0.4544
4210187585,Small Enterprise Research,Small Enterprise Research,,Small Enterprise Research,12185,5541,0.4547
4210202650,Academy of Management Discoveries,Academy of Management Discoveries,Academy of Management Discoveries,Academy of Management Discoveries,17619,8013,0.4548
31040931,International Journal of Electronic Customer Relationship Management,International Journal of Electronic Customer Relationship Management,,,2877,1309,0.455
4210240749,Indonesian Journal of Sustainability Accounting and Management,,,Indonesian Journal of Sustainability Accounting and Management,5349,2435,0.4552
116483603,Journal of Risk & Insurance,Journal of Risk and Insurance,Journal of Risk and Insurance,JOURNAL OF RISK AND INSURANCE,23102,10528,0.4557
2764580720,Journal of Global Scholars of Marketing Science,Journal of Global Scholars of Marketing Science: Bridging Asia and the World,,Journal of Global Scholars of Marketing Science,20394,9298,0.4559
2764691195,Journal of Accounting and Management Information Systems,Journal of Accounting and Management Information Systems,,,3694,1685,0.4561
2764881094,International journal of business and economics,International Journal of Business and Economics,,,3418,1561,0.4567
10747938,Journal of International Money and Finance,Journal of International Money and Finance: theoretical and empirical research in international economics and finance,Journal of International Money and Finance,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,96358,44018,0.4568
23254222,American Economic Review,American Economic Review,American Economic Review,AMERICAN ECONOMIC REVIEW,104734,47839,0.4568
4404663278,Journal of economic and administrative sciences.,Journal of Economic and Administrative Sciences,,Journal of Economic and Administrative Sciences,24760,11316,0.457
156003414,Quantitative Economics,Quantitative Economics,Quantitative Economics,Quantitative Economics,20964,9581,0.457
76440981,Canadian Journal of Economics/Revue canadienne d économique,,Canadian Journal of Economics,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,35733,16338,0.4572
70935693,Japan and the World Economy,Japan and the World Economy,,JAPAN AND THE WORLD ECONOMY,14270,6526,0.4573
2765036513,Australasian Accounting Business and Finance Journal,Australasian Accounting Business and Finance Journal,,Australasian Accounting Business and Finance Journal,16281,7448,0.4575
40285785,Journal of Applied Economics,Journal of Applied Economics,,Journal of Applied Economics,17256,7895,0.4575
4387281549,International Studies of Economics,,,International Studies of Economics,3098,1419,0.458
34975756,Journal of Global Responsibility,Journal of Global Responsibility,,Journal of Global Responsibility,18649,8541,0.458
22431819,International Economic Journal,International Economic Journal,,INTERNATIONAL ECONOMIC JOURNAL,18098,8294,0.4583
2764372386,Journal of Behavioral and Experimental Finance,Journal of Behavioral and Experimental Finance,,Journal of Behavioral and Experimental Finance,38817,17791,0.4583
141184754,Economic Modelling,Economic Modelling,Economic Modelling,ECONOMIC MODELLING,240519,110278,0.4585
197145128,Journal of Organizational Change Management,Journal of Organizational Change Management,Journal of Organizational Change Management,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,58373,26762,0.4585
4394735563,Journal of applied corporate finance,Journal of Applied Corporate Finance,Journal of Applied Corporate Finance,Journal of Applied Corporate Finance,3482,1598,0.4589
4210188240,Journal of Organizational Effectiveness People and Performance,Journal of Organizational Effectiveness: People and Performance,,Journal of Organizational Effectiveness-People and Performance,23695,10891,0.4596
144472306,Journal of Manufacturing Technology Management,Journal of Manufacturing Technology Management,Journal of Manufacturing Technology Management,Journal of Manufacturing Technology Management,57310,26348,0.4597
192723185,Knowledge Management Research & Practice,,,Knowledge Management Research & Practice,48173,22165,0.4601
4162551,International Journal of Gender and Entrepreneurship,,,International Journal of Gender and Entrepreneurship,19235,8859,0.4606
65047066,International Journal of Services and Standards,International Journal of Services and Standards,,,2157,994,0.4608
4210169982,Eurasian economic review :,,,Eurasian Economic Review,14299,6591,0.4609
2764812334,Quality Management Journal,Quality Management Journal,,Quality Management Journal,12799,5900,0.461
2764354898,Journal of Comparative International Management,Journal of Comparative International Management,,,2844,1313,0.4617
165789823,Journal of Consumer Marketing,Journal of Consumer Marketing,Journal of Consumer Marketing,JOURNAL OF CONSUMER MARKETING,51374,23723,0.4618
157600745,International Journal of Productivity and Performance Management,International Journal of Productivity and Performance Management,,International Journal of Productivity and Performance Management,87970,40644,0.462
125977778,International Journal of Contemporary Hospitality Management,International Journal of Contemporary Hospitality Management,International Journal of Contemporary Hospitality Manage,International Journal of Contemporary Hospitality Management,147510,68174,0.4622
4210206470,Journal of Sustainable Finance & Investment,Journal of Sustainable Finance and Investment,,Journal of Sustainable Finance & Investment,21200,9799,0.4622
92565720,Oxford Bulletin of Economics and Statistics,Oxford Bulletin of Economics and Statistics,Oxford Bulletin of Economics and Statistics,OXFORD BULLETIN OF ECONOMICS AND STATISTICS,35317,16330,0.4624
178258306,Empirical Economics,"Empirical Economics: a quarterly journal of the Institute for Advanced Studies, Vienna",Empirical Economics,Empirical Economics,100889,46673,0.4626
34280410,Journal of Productivity Analysis,Journal of Productivity Analysis,Journal of Productivity Analysis,JOURNAL OF PRODUCTIVITY ANALYSIS,23544,10894,0.4627
49164534,Journal of International Commerce Economics and Policy,,,Journal of International Commerce Economics and Policy,8806,4076,0.4629
4210226759,Quantitative Finance and Economics,,,Quantitative Finance and Economics,11961,5539,0.4631
4210198644,Economics of Transition and Institutional Change,Economics of Transition and Institutional Change,Economics of Transition,Economics of Transition and Institutional Change,10930,5066,0.4635
126354654,Journal of Financial Services Marketing,Journal of Financial Services Marketing,,Journal of Financial Services Marketing,27627,12809,0.4636
114724389,Journal of African Business,Journal of African Business,,Journal of African Business,24108,11178,0.4637
37738278,Knowledge and Process Management,Knowledge and Process Management (Print Edition): the journal of corporate transformation,Knowledge and Process Management,Knowledge and Process Management,23713,10997,0.4638
4210191200,Applied Economic Analysis,,,Applied Economic Analysis,3299,1531,0.4641
2764920710,International journal of management and marketing research,International Journal of Management and Marketing Research,,,502,233,0.4641
4210174288,American Economic Review Insights,American Economic Review: Insights,American Economic Review: Insights,American Economic Review-Insights,5205,2417,0.4644
2898275063,European Research on Management and Business Economics,European Research on Management and Business Economics,,European Research on Management and Business Economics,17313,8044,0.4646
10891802,International Journal of Technology Intelligence and Planning,International Journal of Technology Intelligence and Planning,,,2466,1146,0.4647
4210182956,Journal of Marketing Analytics,Journal of Marketing Analytics,,Journal of Marketing Analytics,23502,10921,0.4647
146522396,Annals of Finance,Annals of Finance,,Annals of Finance,9723,4519,0.4648
85739584,Journal of Applied Econometrics,Journal of Applied Econometrics,Journal of Applied Econometrics,JOURNAL OF APPLIED ECONOMETRICS,35952,16715,0.4649
183232449,International Journal of Industrial Organization,International Journal of Industrial Organization,International Journal of Industrial Organization,INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,36047,16778,0.4654
137166528,International Journal of Knowledge Management Studies,,,International Journal of Knowledge Management Studies,3080,1435,0.4659
111496547,Scottish Journal of Political Economy,Scottish Journal of Political Economy,Scottish Journal of Political Economy,SCOTTISH JOURNAL OF POLITICAL ECONOMY,16988,7914,0.4659
139289085,Qualitative Market Research An International Journal,Qualitative Market Research: an international journal,Qualitative Market Research,Qualitative Market Research,28057,13071,0.4659
4210226106,Cuadernos de Gestión,,,Cuadernos de Gestion,11768,5486,0.4662
193530623,Studies in Nonlinear Dynamics and Econometrics,Studies in Nonlinear Dynamics and Econometrics,,STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS,17883,8338,0.4663
4210188777,Recherche et Applications en Marketing (English Edition),Recherche et Applications en Marketing,,Recherche et Applications en Marketing-English Edition,25468,11878,0.4664
125379575,Journal of Chinese Economic and Foreign Trade Studies,Journal of Chinese Economic and Foreign Trade Studies,,Journal of Chinese Economic and Foreign Trade Studies,7365,3436,0.4665
4210181465,Transnational corporations,Transnational Corporations,Transnational Corporations,,2342,1093,0.4667
32948690,Qualitative Research in Financial Markets,Qualitative Research in Financial Markets,,Qualitative Research in financial Markets,21866,10205,0.4667
4394735609,Foreign Trade Review,,,Foreign Trade Review,7922,3698,0.4668
