source_idx,source_name,era_journal_name,harzing_journal_name,wos_journal_name,n_refs,n_exogenous,frac_exogenous
55432613,Journal of East-West Business,Journal of East-West Business,,Journal of East-West Business,14931,5913,0.396
27632631,Journal of Brand Management,Journal of Brand Management,Journal of Brand Management,Journal of Brand Management,46188,18311,0.3964
70698675,Technovation,Technovation,Technovation,TECHNOVATION,111156,44206,0.3977
33323087,Management Science,,Management Science,MANAGEMENT SCIENCE,196205,78234,0.3987
4210175461,Global Review of Accounting and Finance,Global Review of Accounting and Finance,,,1050,420,0.4
61474858,Services Marketing Quarterly,Services Marketing Quarterly,,Services Marketing Quarterly,14874,5957,0.4005
4387279745,Bankers Markets & Investors,"Bankers, Markets & Investors",,,2524,1012,0.401
125273398,The Quarterly Review of Economics and Finance,Quarterly Review of Economics and Finance,Quarterly Review of Economics and Finance,QUARTERLY REVIEW OF ECONOMICS AND FINANCE,74500,29888,0.4012
99067594,Journal of Industrial Economics,The Journal of Industrial Economics,Journal of Industrial Economics,JOURNAL OF INDUSTRIAL ECONOMICS,16600,6661,0.4013
2764516800,Journal of Small Business Strategy,Journal of Small Business Strategy,,,8099,3250,0.4013
2764882396,Borsa Istanbul Review,Borsa Istanbul Review,,Borsa Istanbul Review,36905,14848,0.4023
2798341630,Corporate Ownership and Control,Corporate Ownership and Control,,,97964,39474,0.4029
2764810659,Journal of Small Business & Entrepreneurship,Journal of Small Business and Entrepreneurship,,,31619,12757,0.4035
94083415,Journal of Behavioral Finance,Journal of Behavioral Finance,Journal of Behavioral Finance,Journal of Behavioral Finance,22538,9097,0.4036
4210170931,Annual Review of Financial Economics,Annual Review of Financial Economics,Annual Review of Financial Economics,Annual Review of Financial Economics,22746,9180,0.4036
201675752,Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l Administration,Canadian Journal of Administrative Sciences,Canadian Journal of Administrative Sciences,CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION,32264,13026,0.4037
