source_name,era_journal_name,works_count,density,top_field,top_subfield
International Journal of Electronic Marketing and Retailing,International Journal of Electronic Marketing and Retailing,645,0.358,Decision Sciences,Information Systems and Management
Journal of China Tourism Research,Journal of China Tourism Research,640,0.225,Social Sciences,Sociology and Political Science
Review of Economic Design,Review of Economic Design,607,0.377,Decision Sciences,Management Science and Operations Research
Cuadernos de Turismo,Cuadernos de Turismo,606,0.0,Social Sciences,Sociology and Political Science
International Journal of Cross Cultural Management,International Journal of Cross Cultural Management,605,0.159,Social Sciences,Communication
Journal of Corporate Real Estate,Journal of Corporate Real Estate,594,0.189,Psychology,Social Psychology
Managing Sport and Leisure,Managing Sport and Leisure,591,0.141,Social Sciences,Sociology and Political Science
International Journal of Technology Marketing,International Journal of Technology Marketing,586,0.333,Social Sciences,Sociology and Political Science
International Journal of Tourism Policy,International Journal of Tourism Policy,580,0.0,Social Sciences,Sociology and Political Science
Journal of Ecotourism,Journal of Ecotourism,580,0.0,Social Sciences,Sociology and Political Science
Economics Management and Financial Markets,"Economics, Management, and Financial Markets",576,0.153,Decision Sciences,Management Science and Operations Research
OR Insight,OR Insight,562,0.281,Decision Sciences,Management Science and Operations Research
International Journal of Culture Tourism and Hospitality Research,"International Journal of Culture, Tourism and Hospitality Research",554,0.32,Social Sciences,Sociology and Political Science
Tourism Review International,Tourism Review International: an international journal,552,0.0,Social Sciences,Sociology and Political Science
Journal of Electronic Commerce in Organizations,Journal of Electronic Commerce in Organizations: the international journal of electronic commerce in modern organizations,527,0.324,Decision Sciences,Information Systems and Management
Managing Leisure,Managing Leisure,522,0.084,Social Sciences,Sociology and Political Science
Cross Cultural Management An International Journal,Cross Cultural Management: an international journal,519,0.306,Social Sciences,Communication
Journal of Tourism History,Journal of Tourism History,519,0.0,Arts and Humanities,History
Integrated Manufacturing Systems,Journal of Manufacturing Technology Management,511,0.365,Engineering,Industrial and Manufacturing Engineering
New Zealand Journal of Industrial Relations,New Zealand Journal of Employment Relations,505,0.0,Social Sciences,Public Administration
International journal on food system dynamics,International Journal on Food System Dynamics,500,0.297,Agricultural and Biological Sciences,Plant Science
International journal of evidence based coaching and mentoring,International Journal of Evidence Based Coaching and Mentoring,495,0.0,Psychology,Applied Psychology
International Journal of E-Business Research,International Journal of E-Business Research,494,0.329,Decision Sciences,Information Systems and Management
Journal of Bioeconomics,Journal of Bioeconomics,492,0.308,Social Sciences,Sociology and Political Science
Journal of Tourism Futures,Journal of Tourism Futures,485,0.0,Social Sciences,Sociology and Political Science
International Journal of Workplace Health Management,International Journal of Workplace Health Management,481,0.225,Health Professions,General Health Professions
Tourism,Tourism,481,0.0,Social Sciences,Sociology and Political Science
Sport Business and Management An International Journal,"Sport, Business and Management: An International Journal",470,0.377,Social Sciences,Sociology and Political Science
The journal of biblical integration in business.,Journal of Biblical Integration in Business,468,0.183,Social Sciences,Sociology and Political Science
Tourism and Hospitality,Tourism and Hospitality,460,0.082,Social Sciences,Sociology and Political Science
Journal of Convention & Event Tourism,Journal of Convention and Event Tourism,453,0.0,Social Sciences,Sociology and Political Science
Historical Studies in Industrial Relations,Historical Studies in Industrial Relations,445,0.0,Social Sciences,Public Administration
Progress in Disaster Science,Progress in Disaster Science,443,0.0,Social Sciences,Sociology and Political Science
Turismo - Visão e Ação,Turismo: visao e acao,436,0.0,Decision Sciences,Information Systems and Management
Australasian parks and leisure,Australasian Parks and Leisure,434,0.0,Psychology,Social Psychology
The Asian Journal of Shipping and Logistics,Asian Journal of Shipping and Logistics,433,0.25,Engineering,Industrial and Manufacturing Engineering
Journal of the Transportation Research Forum,Journal of the Transportation Research Forum,428,0.396,Social Sciences,Transportation
International Journal of Advanced Corporate Learning (iJAC),International Journal of Advanced Corporate Learning,423,0.0,Social Sciences,Education
International Journal of Transport Development and Integration,International Journal of Transport Development and Integration,413,0.0,Social Sciences,Transportation
International Journal of Applied Systemic Studies,International Journal of Applied Systemic Studies,407,0.392,Decision Sciences,Management Science and Operations Research
International Journal of Event and Festival Management,International Journal of Event and Festival Management,398,0.05,Social Sciences,Sociology and Political Science
International Journal of Product Lifecycle Management,International Journal of Product Lifecycle Management,395,0.326,Engineering,Industrial and Manufacturing Engineering
Journal of Interactive Advertising,Journal of Interactive Advertising,387,0.247,Social Sciences,Sociology and Political Science
