source_name,era_journal_name,works_count,density,top_field,top_subfield
Work and Occupations,Work and Occupations: an international sociological journal,1533,0.127,Health Professions,General Health Professions
Journal of Labor Research,Journal of Labor Research,1512,0.315,Social Sciences,Public Administration
Loisir et Société / Society and Leisure,Loisir et Societe,1499,0.0,Social Sciences,Sociology and Political Science
PASOS Revista de Turismo y Patrimonio Cultural,Pasos,1491,0.0,Social Sciences,Sociology and Political Science
Journal of Sport Management,Journal of Sport Management,1490,0.216,Social Sciences,Sociology and Political Science
Anatolia,Anatolia: an international journal of tourism and hospitality research,1477,0.111,Social Sciences,Sociology and Political Science
Economics & Human Biology,Economics and Human Biology,1456,0.0,Social Sciences,Health
Journal of Transportation Systems Engineering and Information Technology,Journal of Transportation Systems Engineering and Information Technology,1450,0.0,Social Sciences,Transportation
Estudios Turísticos,Estudios Turisticos,1439,0.0,Social Sciences,Cultural Studies
GeoJournal of Tourism and Geosites,GeoJournal of Tourism and Geosites,1428,0.0,Social Sciences,Sociology and Political Science
International Labour Review,International Labour Review,1427,0.154,Health Professions,General Health Professions
International Journal of Global Energy Issues,International Journal of Global Energy Issues,1419,0.21,Energy,General Energy
Cross-cultural communication,Cross-Cultural Communication,1359,0.0,Arts and Humanities,Language and Linguistics
Tourism Analysis,Tourism Analysis,1347,0.1,Social Sciences,Sociology and Political Science
The American Sociologist,The American Sociologist,1326,0.062,Social Sciences,Sociology and Political Science
Performance Improvement Quarterly,Performance Improvement Quarterly,1306,0.3,Psychology,Applied Psychology
Research in Transportation Business & Management,Research in Transportation Business and Management,1300,0.0,Engineering,Industrial and Manufacturing Engineering
Journal of Behavioral and Experimental Economics,Journal of Behavioral and Experimental Economics,1299,0.099,Social Sciences,Safety Research
Journal of Park and Recreation Administration,Journal of Park and Recreation Administration,1297,0.186,Psychology,Social Psychology
IATSS Research,IATSS Research,1291,0.0,Engineering,"Safety, Risk, Reliability and Quality"
The Tourist Review,Tourism Review,1282,0.085,Social Sciences,Sociology and Political Science
Business Communication Quarterly,Business Communication Quarterly,1252,0.32,"Business, Management and Accounting",Management of Technology and Innovation
Administrative Theory & Praxis,Administrative Theory and Praxis: a quarterly journal of dialogue in public administration theory,1226,0.245,Social Sciences,Public Administration
Journal of Cultural Economics,Journal of Cultural Economics,1223,0.225,Social Sciences,Urban Studies
World Leisure Journal,World Leisure Journal,1219,0.0,Psychology,Social Psychology
Revista Internacional del Trabajo,International Labour Review,1217,0.0,Social Sciences,Safety Research
Tourism Review,Tourism Review,1212,0.094,Social Sciences,Sociology and Political Science
Journal of Occupational Science,Journal of Occupational Science,1203,0.0,Health Professions,Occupational Therapy
Journal of African Economies,Journal of African Economies,1185,0.36,Social Sciences,Safety Research
