unit_idx,unit_type,name,issn,field_eb,country_code,v,rank_v,a_p
42775652,institution,Link Campus University,,,IT,0.1443072687643511,1762,5.294444444444444
147126554,source,Panoeconomicus,1452-595X,E,,0.14400815784681453,1763,99.0
4210129200,institution,O. P. Jindal Global University,,,IN,0.14383568414047462,1764,39.300000000000004
124121301,institution,Lucian Blaga University of Sibiu,,,RO,0.14353124062879452,1765,15.818650793650793
146583814,institution,Mykolas Romeris University,,,LT,0.14135666756888704,1766,25.573809523809523
95023434,institution,University of KwaZulu-Natal,,,ZA,0.14129656683455868,1767,77.41805555555555
5100685,institution,University of Education,,,PK,0.14077839677978335,1768,7.7686202686202686
2738848155,source,Contemporary Economics,2084-0845,E,,0.14076086797421647,1769,81.0
99712911,institution,Nelson Mandela University,,,ZA,0.14056870747923886,1770,43.43674242424243
203088144,institution,Nova Southeastern University,,,US,0.14050347045203623,1771,34.68333333333334
184139950,institution,Moscow State Institute of International Relations,,,RU,0.1402884062047638,1772,12.570634920634918
109297418,institution,Gebze Technical University,,,TR,0.13953777024858408,1773,23.640476190476193
46803900,source,Macroeconomics and Finance in Emerging Market Economies,1752-0843,E,,0.13941244975349637,1774,110.0
149218525,institution,Ankara University,,,TR,0.1393487071654189,1775,40.43333333333333
4210234539,source,Research in Globalization,2590-051X,E,,0.13902203304819066,1776,162.0
678965,source,Value in Health,1098-3015,E,,0.13896164623780416,1777,7366.0
104817121,institution,University of Sarajevo,,,BA,0.1389511755738245,1778,41.16666666666667
2800084297,institution,Indian Institute of Management Shillong,,,IN,0.13883095469355,1779,10.933333333333334
119050109,institution,Ahlia University,,,BH,0.13812721266401712,1780,3.1428571428571423
90697900,institution,EBS University of Business and Law,,,DE,0.1381080711951032,1781,10.333333333333332
5847235,institution,University of Petroleum and Energy Studies,,,IN,0.1380499644847254,1782,11.820833333333333
226983648,institution,Narsee Monjee Institute of Management Studies,,,IN,0.13772031226732737,1783,20.37777777777778
139290212,institution,Hofstra University,,,US,0.13723991712598677,1784,6.247655122655122
35777872,institution,North Carolina Agricultural and Technical State University,,,US,0.13682702643665615,1785,12.235714285714286
305801656,institution,Wroclaw University of Economics and Business,,,PL,0.13607888390197065,1786,53.09166666666667
63098007,institution,Liverpool John Moores University,,,GB,0.13601637595441415,1787,7.908333333333333
2801299839,institution,Collins College,,,US,0.1350586027900147,1788,1.6666666666666667
24062138,institution,Konkuk University,,,KR,0.13495132666370668,1789,24.292857142857144
123443094,institution,Universidade Estadual de Maringá,,,BR,0.13480293708045296,1790,30.36190476190476
4210187131,source,South East European Journal of Economics and Business,2233-1999,E,,0.13469535393998797,1791,73.0
19648265,institution,Wright State University,,,US,0.13442516530875814,1792,9.092857142857143
149339240,source,Eastern European Economics,0012-8775,E,,0.13348379883865588,1793,136.0
4210127441,institution,Indian Institute of Technology Jammu,,,IN,0.13191460982750414,1794,11.566666666666666
354108,institution,Minjiang University,,,CN,0.13168087991849386,1795,14.083333333333332
35913352,institution,Prague University of Economics and Business,,,CZ,0.13081570946083268,1796,185.26263736263738
96062909,institution,Babson College,,,US,0.13067912159655987,1797,7.333333333333333
4210086371,institution,Azerbaijan State University of Economics,,,AZ,0.1297410619143998,1798,32.505
169427155,institution,Instituto Politécnico de Leiria,,,PT,0.12957123458725295,1799,8.604234143049933
88491126,institution,Bucharest University of Economic Studies,,,RO,0.1294034721801497,1800,195.62519841269838
183764125,institution,Technical University of Košice,,,SK,0.12899482431053438,1801,54.10039682539683
74897591,institution,Marmara University,,,TR,0.12876708898023,1802,37.97103174603174
158716096,institution,University of Peloponnese,,,GR,0.1285677008737391,1803,35.83730158730159
181343428,institution,University of Zagreb,,,HR,0.12846940752174513,1804,151.55287345504738
166073570,institution,Binus University,,,ID,0.12840874606550923,1805,10.830555555555554
174025329,institution,University of the Sunshine Coast,,,AU,0.12838571749762095,1806,14.375595238095238
192396691,institution,University of New Orleans,,,US,0.12783464123382932,1807,13.649999999999999
4210092681,institution,Antwerp Management School,,,BE,0.12754470157465636,1808,3.311111111111111
4210240452,source,REVISTA PROCESOS DE MERCADO,1697-6797,E,,0.12704904195694533,1809,72.0
35928602,institution,Kyung Hee University,,,KR,0.1269434841182287,1810,85.29464285714288
134635517,institution,Bandung Institute of Technology,,,ID,0.12658726374502652,1811,24.82444444444445
21173400,institution,Mutah University,,,JO,0.12517961089799867,1812,10.166666666666666
155173764,institution,Rochester Institute of Technology,,,US,0.12187797256397569,1813,21.575
72264486,institution,University of Tabuk,,,SA,0.12180585419073957,1814,12.203968253968252
104941359,institution,Al-Ahliyya Amman University,,,JO,0.12165924330045204,1815,4.341666666666667
119896790,institution,Sebelas Maret University,,,ID,0.12045939197349585,1816,34.38333333333334
191972202,institution,Amity University,,,IN,0.11992503382196477,1817,14.373412698412697
8408910,institution,Cardiff Metropolitan University,,,GB,0.11895338134792471,1818,8.422222222222222
21067949,institution,Adolfo Ibáñez University,,,CL,0.11863232735517767,1819,29.36388888888889
301324184,institution,Xavier School of Management,,,IN,0.11832275511469692,1820,13.083333333333334
80606768,institution,Universidad de Extremadura,,,ES,0.11821299898402937,1821,36.975
205133468,institution,Airlangga University,,,ID,0.11800060879094965,1822,49.30624999999999
26999989,institution,University of the Free State,,,ZA,0.11749403882926472,1823,39.64285714285714
181744264,institution,Kharazmi University,,,IR,0.11697745002237044,1824,15.62142857142857
169045520,institution,Universidade Federal da Paraíba,,,BR,0.11693936259510587,1825,35.578968253968256
175963831,source,El Trimestre Económico,0041-3011,E,,0.11662890673491708,1826,84.0
74788687,institution,Comenius University Bratislava,,,SK,0.11617174629309789,1827,23.40508658008658
104588304,institution,University of Szczecin,,,PL,0.11590566333258955,1828,37.52222222222222
56081889,institution,Mendel University in Brno,,,CZ,0.11579842750266853,1829,38.02976190476191
133599470,institution,Universidad del Desarrollo,,,CL,0.11558999685681642,1830,15.885052910052908
37696226,institution,University of Maribor,,,SI,0.11513081690806931,1831,45.07380952380952
99304778,source,Forum for Social Economics,0736-0932,E,,0.11457845045588953,1832,105.0
40413290,institution,University of Gdańsk,,,PL,0.11444710769055186,1833,29.507575757575754
44265643,institution,Rowan University,,,US,0.11367926046748862,1834,3.9166666666666665
132735039,institution,University of Debrecen,,,HU,0.11235301407665248,1835,18.69613442113442
25607154,institution,Juraj Dobrila University of Pula,,,HR,0.11218527511900094,1836,41.669922254616125
11883440,institution,James Madison University,,,US,0.1115255175988227,1837,18.444444444444443
35961687,institution,Universidad de Antioquia,,,CO,0.11058621646282085,1838,32.829123654123656
154347574,institution,University of Rijeka,,,HR,0.11022989452333566,1839,82.11832114245908
78880903,institution,Universidad de Huelva,,,ES,0.10966675882865047,1840,35.93333333333334
28257850,institution,London South Bank University,,,GB,0.10938611359612452,1841,13.631746031746031
48843708,institution,Pamukkale University,,,TR,0.10861204865363948,1842,57.09744897959183
183898223,institution,International Hellenic University,,,GR,0.10706375556655515,1843,8.869444444444444
131740757,institution,Texas A&M International University,,,US,0.10669209614895803,1844,61.0
59361560,institution,Instituto Politécnico Nacional,,,MX,0.10660347073733092,1845,27.70873015873015
164861460,institution,Manipal Academy of Higher Education,,,IN,0.10632218643905167,1846,41.346428571428575
4210218909,source,Journal of Quantitative Economics,2364-1045,E,,0.10629233620499713,1847,157.0
17120543,institution,National University of Modern Languages,,,PK,0.10553141381735105,1848,5.383333333333334
74319210,institution,Chitkara University,,,IN,0.10551147469938384,1849,5.398845598845599
12859529,institution,University of Nairobi,,,KE,0.10531574463623956,1850,26.083333333333332
3019271933,institution,Nicolaus Copernicus University,,,PL,0.10456040403829699,1851,51.45138888888889
4210230148,source,OEconomia,2113-5207,E,,0.10442327616211754,1852,26.0
51235708,institution,Universidade Federal do Espírito Santo,,,BR,0.1042641894443711,1853,34.94231324231325
233745408,institution,Pontificia Universidad Javeriana,,,CO,0.10300833579171043,1854,59.6861111111111
146367977,institution,Applied Science Private University,,,JO,0.10245225656166428,1855,5.823478835978837
167420956,institution,Vilnius Gediminas Technical University,,,LT,0.1019415184340582,1856,30.80555555555555
134784518,institution,Institute of Business Administration Karachi,,,PK,0.10163142629323857,1857,12.601190476190478
4210116728,institution,Universitas Patria Artha,,,ID,0.09943667558190811,1858,2.5666666666666664
186129607,institution,Canadian University of Dubai,,,AE,0.09897892692275442,1859,6.617857142857142
125733402,source,Investigación Económica,0185-1667,E,,0.09876287966784417,1860,78.0
91819753,institution,Padjadjaran University,,,ID,0.09765153416357572,1861,44.652256771006776
197907453,institution,Akdeniz University,,,TR,0.0971641139879595,1862,48.43333333333334
126193024,institution,London Metropolitan University,,,GB,0.09686795812430306,1863,1.8333333333333333
165102784,institution,Duquesne University,,,US,0.09680716025301483,1864,9.033333333333333
200432940,institution,Allameh Tabataba'i University,,,IR,0.0967266618491639,1865,22.177777777777774
161515732,institution,University of St. Thomas - Minnesota,,,US,0.09660244592752698,1866,8.666666666666666
4306531871,source,Terra Economicus,2073-6606,E,,0.0962173946480077,1867,76.0
198105771,institution,Kasetsart University,,,TH,0.09597297040389823,1868,25.6779539015523
84524832,institution,Alexandria University,,,EG,0.09477234716941423,1869,14.279022897037601
27878738,institution,Fore School of Management,,,IN,0.09380663828299417,1870,9.116666666666665
140389752,source,Revista de Economía Mundial,1576-0162,E,,0.09321559390169361,1871,184.0
4210141702,institution,University of Gävle,,,SE,0.09232469151806331,1872,1.7083333333333333
110360157,institution,Lovely Professional University,,,IN,0.09204008577218903,1873,13.536111111111111
897542642,institution,University of Plymouth,,,GB,0.09184531259062206,1874,14.577881777881778
42260610,source,African Journal of Economic and Management Studies,2040-0705,E,,0.09109673319775141,1875,137.0
