,Research_Profile,author_id,works_count,display_name,ACR,PUB,CIT,HCP,sum,coc,score,Group,Class
166,"Obstfeld, Maurice",https://openalex.org/A5018047996,440,Maurice Obstfeld,B17,15,369,1,488.9554156143856,32.59702770762571,31.8,C,John Von Neumann Award
167,"Childe, Stephen J.",https://openalex.org/A5052327280,129,Stephen J. Childe,Y53,10,3398,5,322.6187609213009,32.26187609213009,31.6,T,HCP
168,"Gali, Jordi",https://openalex.org/A5086849054,70,Jordi Galimany Masclans,A42,17,471,0,546.5108306016206,32.14769591774239,31.6,C,ERC
169,"Fuchs-Schuendeln, Nicola",https://openalex.org/A5059233879,13,Nicola Fuchs-Schuendeln,A71,13,380,0,417.1137096270396,32.08566997131074,31.6,C,Gossen_Prize
170,"Kojima, Fuhito",https://openalex.org/A5072023922,113,Fuhito Kojima,A54,13,546,0,413.246898018648,31.78822292451139,31.4,C,Nakahara_Prize
171,"Lundborg, Petter",https://openalex.org/A5078292365,143,Petter Lundborg,A39,19,570,0,600.2411696364746,31.59164050718288,31.3,C,Assar_Lindbeck_Medal
172,"Kunz, Werner H.",https://openalex.org/A5053767623,139,Werner H. Kunz,Y49,14,2047,5,436.7062035081585,31.19330025058275,31.1,T,HCP
173,"Dubois, Pierre",https://openalex.org/A5066829844,186,Pierre Dubois,A87,13,431,0,386.8385296703296,29.75680997464074,30.4,C,ERC
174,"Rodrik, DanI",https://openalex.org/A5113832316,540,Dani Rodrik,Z60,14,1498,0,416.1077279398379,29.72198056713128,30.4,C,John Von Neumann Award
175,"Hart, Oliver",https://openalex.org/A5078248239,3,Oliver Hartwich,A13,7,145,0,207.0466716450216,29.57809594928881,30.3,C,Nobel Prize
176,"Deaton, Angus",https://openalex.org/A5036192906,664,Angus Deaton,A15,13,1048,1,377.9628114579865,29.07406241984512,30.0,C,Nobel Prize
177,"Besley, Timothy",https://openalex.org/A5110757928,301,Timothy Besley,B28,28,878,0,810.516704034299,28.94702514408211,30.0,C,John Von Neumann Award
178,"Calvano, Emilio",https://openalex.org/A5030092162,44,Emilio Calvano,A98,11,506,0,316.2091393439894,28.74628539490812,29.9,C,ERC
179,"Grewal, Dhruv",https://openalex.org/A5076693618,357,Dhruv Grewal,Y03,74,6924,8,2112.387101075314,28.54577163615289,29.8,T,HCP
180,"Hansen, Lars Peter",https://openalex.org/A5071003992,359,Lars Peter Hansen,A18,16,410,0,454.8428663747363,28.42767914842102,29.7,C,Nobel Prize
181,"Casalo, Luis, V",,0,,Y02,11,2031,9,304.3351317970918,27.66683016337198,29.3,T,HCP
182,"Frattini, Federico",https://openalex.org/A5044315503,246,Federico Frattini,Y38,36,2689,5,983.1812797097347,27.31059110304819,29.1,T,HCP
183,"Svensson, Jakob",https://openalex.org/A5041015513,347,Jakob Svensson,A101,9,342,0,243.6243803571429,27.0693755952381,29.0,C,ERC
184,"Sunde, Uwe",https://openalex.org/A5021689391,298,Uwe Sunde,A70,36,1561,1,928.7060303934953,25.79738973315265,28.3,C,Gossen_Prize
185,"Shiller, Robert J.",https://openalex.org/A5099376013,2,Robert J. Shiller,A19,12,434,1,308.1592685364635,25.67993904470529,28.2,C,Nobel Prize
186,"Zhou, Guofu",https://openalex.org/A5012239666,295,Guofu Zhou,B27,35,2215,4,895.3947366405816,25.58270676115947,28.2,T,HCP
187,"Zhou, Kevin Zheng",https://openalex.org/A5110749191,184,Kevin Zheng Zhou,Z94,48,3264,4,1196.326657676768,24.92347203493266,27.8,T,HCP
188,"Hair, Joseph F.",https://openalex.org/A5021051472,289,Joseph F. Hair,Y11,33,11387,11,807.4253546739371,24.46743499011931,27.6,T,HCP
189,"Zhang, Bohui",https://openalex.org/A5007132849,200,Bohui Zhang,Y44,21,1319,5,503.3892698015873,23.97091760959939,27.3,T,HCP
190,"Gaechter, Simon",https://openalex.org/A5109907907,198,Simon Gächter,A104,14,907,2,327.5014961602287,23.39296401144491,26.9,C,ERC
191,"Kwok, Chuck C. Y.",https://openalex.org/A5054813318,111,Chuck C.Y. Kwok,MP15,12,910,0,278.3432253274503,23.19526877728753,26.8,C,Moskowitz Prize
192,"Harstad, Bard",https://openalex.org/A5112601992,99,Bård Harstad,A06,13,322,0,300.0650808669109,23.08192929745468,26.8,C,ERC
193,"Strausz, Roland",https://openalex.org/A5021899039,128,Roland Strausz,A95,18,311,0,400.8338546356421,22.2685474797579,26.3,C,ERC
194,"Donthu, Naveen",https://openalex.org/A5074473734,187,Naveen Donthu,Y37,30,7445,5,615.0117226934177,20.50039075644726,25.2,T,HCP
195,"Flavian, Carlos",https://openalex.org/A5044113079,293,Carlos Flavián,A72,25,3737,9,511.7178068276168,20.46871227310467,25.2,T,HCP
196,"Belanche, Daniel",https://openalex.org/A5020041555,281,Simon Bell,A48,16,1855,9,318.4563868043068,19.90352417526918,24.9,T,HCP
197,"Vismara, Silvio",https://openalex.org/A5007113028,290,Silvio Vismara,Y31,66,4398,5,1274.32818528527,19.30800280735258,24.5,T,HCP
198,"Mikalef, Patrick",https://openalex.org/A5076679564,190,Patrick Mikalef,Z100,13,1930,5,248.6540528354979,19.12723483349983,24.4,T,HCP
199,"Kowalkowski, Christian",https://openalex.org/A5001255461,216,Christian Kowalkowski,Y40,25,2631,5,477.1756375385725,19.0870255015429,24.3,T,HCP
200,"Wincent, Joakim",https://openalex.org/A5019143179,250,Joakim Wincent,Y30,76,3760,5,1448.191231987457,19.05514778930864,24.3,T,HCP
201,"De Massis, Alfredo",https://openalex.org/A5062289104,485,Alfredo De Massis,A29,85,6651,9,1611.531515032745,18.95919429450288,24.3,T,HCP
202,"Wirtz, Jochen",https://openalex.org/A5064998398,359,Jochen Wirtz,Y08,40,3619,7,755.0025224403375,18.87506306100844,24.2,T,HCP
203,"Chesbrough, Henry",https://openalex.org/A5077965593,205,Henry Chesbrough,Y41,25,2402,5,448.3976613702964,17.93590645481186,23.6,T,HCP
204,"Berg, Tobias",https://openalex.org/A5074576628,136,Tobias Berg,A68,12,786,1,211.5783156746032,17.63152630621693,23.4,C,ERC
205,"Moon, Hyungsik Roger",https://openalex.org/A5053993503,182,Hyungsik Roger Moon,A44,18,408,0,299.4220659271284,16.6345592181738,22.7,C,R._K._Cho_Economics_Prize
206,"El Ghoul, Sadok",https://openalex.org/A5091466387,251,Sadok El Ghoul,MP13,74,4713,3,1193.588953998779,16.12958045944296,22.4,C,Moskowitz Prize
207,"Inoue, Atsushi",https://openalex.org/A5110282172,545,Atsushi Inoue,A47,18,494,0,271.0346940662116,15.05748300367842,21.6,C,Nakahara_Prize
208,"Guedhami, Omrane",https://openalex.org/A5043790847,308,Omrane Guedhami,MP14,85,5000,4,1271.39775974137,14.95762070283964,21.5,C,Moskowitz Prize
209,"Rossi, Barbara",https://openalex.org/A5059374703,185,Barbara Rossi,A96,23,884,0,341.3027197804973,14.83924868610858,21.5,C,ERC
210,"Guedhami, Omrane",https://openalex.org/A5043790847,308,Omrane Guedhami,Z87,85,4759,4,1257.045201892552,14.78876708108885,21.4,T,HCP
211,"Petruzzelli, Antonio Messeni",https://openalex.org/A5025430409,234,Antonio Messeni Petruzzelli,B16,47,2970,3,659.6280848351648,14.03464010287585,20.9,T,HCP
212,"Kasahara, Hiroyuki",https://openalex.org/A5062503131,172,Hiroyuki Kasahara,A50,10,334,1,127.0900579304029,12.70900579304029,19.9,C,Nakahara_Prize
213,"Bresciani, Stefano",https://openalex.org/A5028407190,187,Stefano Bresciani,Y16,42,3551,6,532.1974522807748,12.67136791144702,19.8,T,HCP
214,"Mishra, Dev R.",https://openalex.org/A5032334749,71,Dev R. Mishra,MP16,7,324,0,85.49864575396825,12.21409225056689,19.5,C,Moskowitz Prize
215,"Hollebeek, Linda D.",https://openalex.org/A5068350949,176,Linda D. Hollebeek,B11,49,4033,2,595.5579456698856,12.15424378918134,19.4,T,HCP
216,"Parida, Vinit",https://openalex.org/A5090362709,331,Vinit Parida,A81,89,5946,9,1068.840781915862,12.00944698781868,19.3,T,HCP
217,"Bouncken, Ricarda B.",https://openalex.org/A5023850919,332,Ricarda B. Bouncken,B29,53,2835,5,623.7772300485625,11.76938169902948,19.1,T,HCP
218,"Ritala, Paavo",https://openalex.org/A5047360486,260,Paavo Ritala,Z99,45,1953,4,515.1277789055389,11.44728397567864,18.8,T,HCP
219,"Ribeiro-Soriano, Domingo",https://openalex.org/A5032073164,268,Domingo Ribeiro Soriano,Z78,42,3028,5,478.1601471911422,11.38476540931291,18.8,T,HCP
220,"Kraus, Sascha",https://openalex.org/A5055158022,585,Sascha Kraus,Y29,151,9147,5,1667.69186950827,11.04431701661106,18.5,T,HCP
221,"Yue, Pengpeng",https://openalex.org/A5079950477,35,Pengpeng Yue,Y20,19,1153,6,208.1730930555556,10.95647858187135,18.4,T,HCP
222,"Del Giudice, Manlio",https://openalex.org/A5046384052,276,Manlio Del Giudice,Y32,51,3352,5,552.026598949939,10.82405095980272,18.3,T,HCP
223,"Zhang, Bing",https://openalex.org/A5100389664,784,Bing Zhang,Z81,46,2827,9,483.7342250743701,10.51596141466022,18.1,T,HCP
224,"Audretsch, David B.",https://openalex.org/A5118504896,3,David B Audretsch,Y24,98,5681,5,1014.269049896215,10.34968418261444,17.9,T,HCP
225,"Yarovaya, Larisa",https://openalex.org/A5052979321,163,Larisa Yarovaya,Z69,56,5275,6,532.2654986402487,9.504741047147297,17.2,T,HCP
226,"Kaur, Puneet",https://openalex.org/A5013967541,101,Puneet Kaur Sahi,Y17,33,3405,6,303.1743129900655,9.187100393638348,16.9,T,HCP
227,"Ntim, Collins G.",https://openalex.org/A5043169421,271,Collins G. Ntim,Y33,46,3358,5,398.7773567926518,8.6690729737533,16.4,T,HCP
228,"Paul, Justin",https://openalex.org/A5078843987,292,Justin Paul,Y05,77,5831,7,660.2752610625486,8.575003390422708,16.3,T,HCP
229,"Reboredo, Juan C.",https://openalex.org/A5067885599,115,Juan C. Reboredo,Y36,31,2950,5,262.9467412296037,8.482152942890442,16.2,T,HCP
230,"Zhang, Dayong",https://openalex.org/A5050809806,277,Dayong Zhang,Z82,65,5355,9,532.7264327761127,8.195791273478656,15.9,T,HCP
231,"Kristoufek, Ladislav",https://openalex.org/A5083821951,187,Ladislav Krištoufek,Z75,22,1910,5,179.1655920523921,8.143890547836003,15.9,T,HCP
232,"Budhwar, Pawan",https://openalex.org/A5055856506,456,Pawan Budhwar,Z80,71,2941,4,577.0421027769453,8.127353560238666,15.9,T,HCP
233,"Roubaud, David",https://openalex.org/A5050337531,230,David Roubaud,Z29,74,9126,15,597.9845450008326,8.080872229740981,15.8,T,HCP
234,"Lim, Weng Marc",https://openalex.org/A5045594204,393,Weng Marc Lim,Y01,70,9123,11,545.4726841802641,7.792466916860915,15.6,T,HCP
235,"Ren, Siyu",https://openalex.org/A5101580897,28,Siyu Ren,Z03,13,2272,7,100.1232243908869,7.701786491606684,15.5,T,HCP
236,"Mazzucato, Mariana",https://openalex.org/A5069443386,237,Mariana Mazzucato,H18,18,1782,0,136.1214556568432,7.562303092046843,15.3,C,John Von Neumann Award
237,"Dhir, Amandeep",https://openalex.org/A5008359350,311,Amandeep Dhir,Z52,69,5601,10,480.4888438009212,6.963606431897409,14.7,T,HCP
238,"Dwivedi, Yogesh K.",https://openalex.org/A5048622877,944,Yogesh K. Dwivedi,A77,81,4900,9,550.9029504034854,6.801270992635622,14.5,T,HCP
239,"Kumar, Satish",https://openalex.org/A5006505076,275,M. Satish‐Kumar,Y13,79,8890,6,520.879546989122,6.593411987204076,14.3,T,HCP
240,"Lucey, Brian M.",https://openalex.org/A5010285399,696,Brian M. Lucey,A88,141,9395,11,875.4587365465092,6.20892720954971,13.9,C,ERC
241,"Boubaker, Sabri",https://openalex.org/A5081676508,360,Sabri Boubaker,Z66,58,3978,9,357.7360040157065,6.167862138201836,13.8,T,HCP
242,"Gabauer, David",https://openalex.org/A5079473216,131,David Gabauer,Z42,49,3203,7,299.3299445526695,6.108774378625909,13.8,T,HCP
243,"Demir, Ender",https://openalex.org/A5078880859,199,Ender Demir,Y35,60,3474,5,361.8165939421689,6.030276565702815,13.7,T,HCP
244,"Wen, Huwei",https://openalex.org/A5071205039,103,Huwei Wen,Z64,27,1581,6,159.6209968564768,5.911888772462105,13.5,T,HCP
245,"Li, Zhenghui",https://openalex.org/A5088313229,82,Zhenghui Liu,Y50,13,1177,5,74.8210680006105,5.755466769277731,13.4,T,HCP
246,"Urquhart, Andrew",https://openalex.org/A5087571137,236,Michael P. Clements,B24,66,3423,5,373.854926983017,5.664468590651772,13.3,T,HCP
247,"He, Feng",https://openalex.org/A5102787568,216,Feng He,Z92,26,781,7,147.0627886111111,5.65626110042735,13.2,T,HCP
248,"Lau, Chi Keung",https://openalex.org/A5032606372,11,Chi-Keung Lau,Z97,67,3524,6,376.8343982448108,5.624394003653892,13.2,T,HCP
249,"Yu, Zhang",https://openalex.org/A5029960539,152,Zhang‐Yue Zhou,Y19,20,1693,6,111.7417382109557,5.587086910547786,13.2,T,HCP
250,"Spiliotis, Evangelos",https://openalex.org/A5015832946,102,Evangelos Spiliotis,Z43,13,1899,4,72.00979561660562,5.539215047431201,13.1,T,HCP
251,"Yang, Lili",https://openalex.org/A5070434985,231,Lili Yang,Z77,20,2142,5,108.3534166625041,5.417670833125207,13.0,T,HCP
252,"Zhang, Dongyang",https://openalex.org/A5100716670,188,Dongyang Zhang,Z32,56,2605,17,302.459744506882,5.401066866194321,12.9,T,HCP
253,"Lee, Chi-Chuan",https://openalex.org/A5082666630,107,Chi‐Chuan Lee,Z26,47,2748,10,245.760680997891,5.228950659529596,12.7,T,HCP
254,"Ji, Qiang",https://openalex.org/A5101424322,141,Qiang Ji,Z83,128,7246,9,660.4217581801531,5.159544985782446,12.7,T,HCP
255,"Kong, Dongmin",https://openalex.org/A5056520084,247,Dongmin Kong,Y12,152,3446,6,781.2317871692196,5.139682810323813,12.6,T,HCP
256,"Sensoy, Ahmet",https://openalex.org/A5090267717,195,Ahmet Şensoy,Y27,85,3435,5,424.5326154212453,4.994501357897004,12.4,T,HCP
257,"Shahzad, Syed Jawad Hussain",https://openalex.org/A5021804779,303,Syed Jawad Hussain Shahzad,Z70,95,5847,7,470.3139339124765,4.950672988552384,12.4,T,HCP
258,"Ren, Xiaohang",https://openalex.org/A5077214780,212,Xiaohang Ren,Z37,51,2862,20,249.2257288847264,4.886778997739733,12.3,T,HCP
259,"Gozgor, Giray",https://openalex.org/A5015669404,1571,Rangan Gupta,Z31,76,4076,10,368.5528084171384,4.849379058120242,12.3,T,HCP
260,"Makridakis, Spyros",https://openalex.org/A5022353147,208,Spyros Makridakis,Z86,13,2312,5,62.84822606282606,4.834478927909697,12.2,T,HCP
261,"Razzaq, Asif",https://openalex.org/A5108775223,127,Asif Razzaq,Z65,11,681,4,52.45247863497613,4.768407148634194,12.2,T,HCP
262,"Vrontis, Demetris",https://openalex.org/A5040844824,767,Demetris Vrontis,Z98,93,2915,3,438.6194868711843,4.716338568507359,12.1,T,HCP
263,"Corbet, Shaen",https://openalex.org/A5019834648,405,Shaen Corbet,Y23,108,5345,5,479.3718584379509,4.438628318869916,11.7,T,HCP
264,"Bouri, Elie",https://openalex.org/A5071230295,466,Elie Bouri,Z33,190,12853,12,837.3371611330336,4.407037690173861,11.7,T,HCP
265,"Sun, Guanglin",https://openalex.org/A5088539082,34,Guanglin Sun,Y09,20,604,7,87.72775871212122,4.386387935606061,11.7,T,HCP
266,"Dogan, Eyup",https://openalex.org/A5063329602,104,Eyüp Doğan,Z54,12,948,5,52.40376793761794,4.366980661468162,11.6,T,HCP
267,"Naeem, Muhammad Abubakr",https://openalex.org/A5039331964,255,Muhammad Abubakr Naeem,Z17,74,4506,12,322.9213472702298,4.36380199013824,11.6,T,HCP
268,"Liu, Xiaoqian",https://openalex.org/A5100683619,236,Xiaoqian Liu,Z63,9,472,5,39.18573061327561,4.353970068141734,11.6,T,HCP
269,"Shao, Shuai",https://openalex.org/A5000043923,182,Shuai Shao,Z57,45,4042,10,195.3031144172494,4.340069209272209,11.6,T,HCP
270,"Gong, Xu",https://openalex.org/A5074838225,176,Xu Gong,Z88,36,1780,4,156.1575232256632,4.337708978490645,11.6,T,HCP
271,"Goodell, John W.",https://openalex.org/A5025970919,299,John W. Goodell,Z71,147,5076,14,633.966638887224,4.312698223722612,11.6,T,HCP
272,"Du, Kerui",https://openalex.org/A5033994682,80,Kerui Du,Z44,24,2094,5,100.7540969683095,4.198087373679561,11.4,T,HCP
273,"Wu, Haitao",https://openalex.org/A5064876335,209,Haitao Wu,Z02,44,4242,16,182.1209254559329,4.139111942180294,11.3,T,HCP
274,"Wen, Fenghua",https://openalex.org/A5010789733,213,Fenghua Wen,Y04,88,4281,7,362.8026988578088,4.122757941566009,11.3,T,HCP
275,"Irfan, Muhammad",https://openalex.org/A5008426853,337,Muhammad Irfan,Z04,19,1152,5,72.61508506882006,3.821846582569477,10.9,T,HCP
276,"Hammoudeh, Shawkat",https://openalex.org/A5038883380,427,Shawkat Hammoudeh,Z79,135,6900,7,512.5954808669109,3.797003561977117,10.9,T,HCP
277,"Rizvi, Syed Kumail Abbas",https://openalex.org/A5087925937,79,Syed Kumail Abbas Rizvi,Z11,24,739,4,90.13577867660118,3.755657444858382,10.8,T,HCP
278,"Mensi, Walid",https://openalex.org/A5021863807,236,Walid Mensi,Z73,90,3928,4,336.3614504906205,3.737349449895783,10.8,T,HCP
279,"Dabic, Marina",https://openalex.org/A5017353394,426,Marina Dabić,B25,71,1735,5,263.6201132278832,3.712959341237792,10.7,T,HCP
280,"Shao, Xuefeng",https://openalex.org/A5090095130,106,Xuefeng Shao,Z67,20,646,4,72.5834283946609,3.629171419733045,10.6,T,HCP
281,"Smyth, Russell",https://openalex.org/A5087969968,802,Russell Smyth,Z59,113,4734,7,409.0434694494395,3.619853711941942,10.6,T,HCP
282,"Hao, Yu",https://openalex.org/A5064503231,139,Yu‐Hao Li,Z01,64,5366,17,228.4617622211122,3.569715034704878,10.5,T,HCP
283,"Uddin, Gazi Salah",https://openalex.org/A5019480291,370,Gazi Salah Uddin,Z55,113,4013,4,401.9635569225219,3.55719961878338,10.5,T,HCP
284,"Zhao, Shikuan",https://openalex.org/A5109119108,99,Shengfeng Zhao,Y54,10,391,5,34.8538235930736,3.48538235930736,10.4,T,HCP
285,"Wang, Chih-Wei",https://openalex.org/A5101951923,5,Chih-Wei Wang,Z28,33,566,4,113.704728968254,3.445597847522847,10.3,T,HCP
286,"Yan, Cheng",https://openalex.org/A5028299718,302,Cheng Yang,Z49,50,1284,6,170.6722466394716,3.413444932789433,10.3,T,HCP
287,"Feng, Gen-Fu",https://openalex.org/A5100579718,80,Gen‐Fu Feng,Z22,31,1505,6,103.3384011302586,3.333496810653504,10.2,T,HCP
288,"Khan, Zeeshan",https://openalex.org/A5001456750,44,Muhammad Zeeshan Khan,Z41,10,1324,4,33.06551869408369,3.306551869408369,10.1,T,HCP
289,"Zhang, Weike",https://openalex.org/A5101610022,76,Weike Zhang,Z61,15,663,4,48.76338670634921,3.250892447089947,10.0,T,HCP
290,"Kang, Sang Hoon",https://openalex.org/A5101545220,54,Sang Hoon Kang,Z19,115,4969,4,371.1600691267066,3.227478861971362,10.0,T,HCP
291,"Karim, Sitara",https://openalex.org/A5035670625,142,Sitara Karim,Z18,58,2237,9,182.0427342632368,3.138667832124772,9.9,T,HCP
292,"Lee, Chien-Chiang",https://openalex.org/A5015591219,5,Chien-Chiang Lee,Z25,195,9713,35,591.2164737112887,3.031879352365583,9.7,T,HCP
293,"Shahbaz, Muhammad",https://openalex.org/A5052033177,863,Muhammad Shahbaz,Z48,123,9282,6,370.5424895315796,3.012540565297395,9.7,T,HCP
294,"Yousaf, Imran",https://openalex.org/A5087544432,153,Imran Yousaf,Z50,73,2563,10,217.8917112665113,2.984817962554949,9.6,T,HCP
295,"Hossain, Mohammad Razib",https://openalex.org/A5047582566,54,Mohammad Razib Hossain,Z62,8,436,4,23.55325778277278,2.944157222846598,9.6,T,HCP
296,"Umar, Zaghum",https://openalex.org/A5021559309,160,Zaghum Umar,Y26,88,3237,5,257.7419659512709,2.928885976718988,9.5,T,HCP
297,"Ma, Feng",https://openalex.org/A5034570850,166,Feng Ma,Z12,123,4700,4,343.694116459929,2.794261109430317,9.3,T,HCP
298,"Tiwari, Aviral Kumar",https://openalex.org/A5062136150,712,Aviral Kumar Tiwari,Z27,189,6239,6,518.8832401506826,2.74541396905123,9.2,T,HCP
299,"Mohsin, Muhammad",https://openalex.org/A5032315594,108,Muhammad Mohsin,Z16,15,1213,4,41.0135936951937,2.73423957967958,9.2,T,HCP
300,"Mirza, Nawazish",https://openalex.org/A5030355028,220,Nawazish Mirza,Z09,53,1933,7,144.5566683380509,2.72748430826511,9.2,T,HCP
301,"Sun, Chuanwang",https://openalex.org/A5072227383,190,Chuanwang Sun,Z39,32,1426,4,85.13720584582083,2.660537682681901,9.1,T,HCP
302,"Jiang, Qingzhe",https://openalex.org/A5108661898,89,Qingzhe Jiang,Z45,17,1461,5,44.58747724941725,2.622792779377485,9.0,T,HCP
303,"Zhao, Jun",https://openalex.org/A5100358003,588,Jun Zhao,Z47,22,1672,5,56.30585775446775,2.559357170657625,8.9,T,HCP
304,"Nepal, Rabindra",https://openalex.org/A5089150146,262,Rabindra Nepal,Z20,39,859,6,98.62408394605396,2.528822665283435,8.9,T,HCP
305,Xuan Vinh Vo,https://openalex.org/A5001100407,383,Xuan Vinh Vo,Z51,184,5634,6,462.0200465223665,2.510978513708514,8.8,T,HCP
306,"Churchill, Sefa Awaworyi",https://openalex.org/A5053415289,215,Sefa Awaworyi Churchill,Z93,70,2786,5,174.5461628349428,2.493516611927755,8.8,T,HCP
307,"Taghizadeh-Hesary, Farhad",https://openalex.org/A5086567248,567,Farhad Taghizadeh–Hesary,Z14,76,3345,11,182.4239881010656,2.400315632908758,8.6,T,HCP
308,"Managi, Shunsuke",https://openalex.org/A5035555297,1020,Shunsuke Managi,Z91,102,3300,5,243.930664953935,2.391477107391519,8.6,T,HCP
309,"Lin, Boqiang",https://openalex.org/A5003679114,991,Boqiang Lin,Z36,141,5280,7,333.6682787987012,2.36644169360781,8.6,T,HCP
310,"Zhao, Xin",https://openalex.org/A5019676309,298,Xin Zhao,Y39,25,613,5,55.89176582778333,2.235670633111333,8.3,T,HCP
311,"Dong, Xiucheng",https://openalex.org/A5018715180,187,Xiucheng Dong,Z30,36,2854,9,80.31944376290377,2.23109566008066,8.3,T,HCP
312,"Wang, Shouyang",https://openalex.org/A5111758530,18,Shouyang Wang,Z24,93,2808,4,203.6615047244422,2.189908652950992,8.2,T,HCP
313,"Gubareva, Mariya",https://openalex.org/A5036032433,114,Mariya Gubareva,Z35,60,1588,4,128.70101501887,2.145016916981167,8.2,T,HCP
314,"Su, Bin",https://openalex.org/A5035374545,419,Bin Su,B21,48,3093,4,99.79649691447442,2.079093685718217,8.0,T,HCP
315,"Gupta, Rangan",https://openalex.org/A5018827697,32,Rangan Gupta,Z85,426,12549,10,872.9128156951381,2.049091116655254,8.0,T,HCP
316,"Umar, Muhammad",https://openalex.org/A5100756987,272,Muhammad Umar,Z06,92,2901,13,182.8527205960706,1.98752957169642,7.9,T,HCP
317,"Feng, Chao",https://openalex.org/A5017413913,100,Chao Feng,Z46,26,1069,6,51.51111731407482,1.981196819772108,7.8,T,HCP
318,"Chang, Chun-Ping",https://openalex.org/A5053491075,328,Chun‐Ping Chang,Z21,96,3194,11,183.7297061901987,1.913851106147903,7.7,T,HCP
319,"Song, Malin",https://openalex.org/A5101459946,37,Malin Song,Z34,73,3091,7,134.8857539607615,1.847750054257006,7.6,T,HCP
320,"Apergis, Nicholas",https://openalex.org/A5108034146,584,Nicholas Apergis,Y25,100,2512,5,182.4777669241869,1.824777669241869,7.5,T,HCP
321,"Dong, Kangyin",https://openalex.org/A5033003201,280,Kangyin Dong,Z15,82,4868,18,149.147356532634,1.818870201617488,7.5,T,HCP
322,"Yang, Xiaodong",https://openalex.org/A5100755418,331,Xiaodong Yang,Z05,14,668,5,25.03428895437895,1.788163496741354,7.4,T,HCP
323,"Sadiq, Muhammad",https://openalex.org/A5024449095,94,Muhammad Sadiq,Z56,11,639,5,19.11110550616051,1.737373227832773,7.3,T,HCP
324,"Zhang, Ning",https://openalex.org/A5100404886,1286,Ning Zhang,Z90,26,820,4,44.66148126262626,1.717749279331779,7.3,T,HCP
325,"Qin, Meng",https://openalex.org/A5101610740,304,Meng Qing,Z10,32,860,8,52.13774835858586,1.629304636205808,7.1,T,HCP
326,"Abedin, Mohammad Zoynul",https://openalex.org/A5047331779,257,Mohammad Zoynul Abedin,Y06,73,1121,7,108.8152688411589,1.490620121111765,6.8,T,HCP
327,"Dagar, Vishal",https://openalex.org/A5042457507,89,Vishal Dagar,Y55,10,583,5,14.58683201964702,1.458683201964702,6.7,T,HCP
328,"Cifuentes-Faura, Javier",https://openalex.org/A5090021185,227,Javier Cifuentes‐Faura,Z72,32,582,6,39.94208176046176,1.24819005501443,6.2,T,HCP
329,"Su, Chi-Wei",https://openalex.org/A5079462108,439,Chi‐Wei Su,Y28,73,1650,5,85.65706518037518,1.173384454525688,6.0,T,HCP
